分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2023-06-30,2026-07-30,30-55/西區南屯/生活質感/醫生/親子教育/名車,inactive,8888,3827,,,8,404.75,actions:leadgen.other,3238,6500,總經費,204,2.29523,2.322446,2024-08-14,2024-09-04
2023-06-30,2026-07-30,35-65/西屯西區/主管/成家/外語教育/理財,inactive,1558,1088,,,,,,308,2000,總經費,107,6.867779,1.431985,2024-08-20,2024-09-04
2023-06-30,2026-07-30,30-60/南屯西區/雙語教育/理財/僑胞/精品(1004五調),inactive,16995,4713,7,3,23,261,actions:leadgen.other,6003,8000,總經費,844,4.966167,3.605983,2024-09-05,2024-11-04
2023-06-30,2026-07-30,"30-60/文心 勤美 西區/藝術 全球經濟 旅居國外",inactive,3205,1659,,,1,755,actions:leadgen.other,755,4750,總經費,82,2.558502,1.931887,2025-02-20,2025-03-31
2023-06-30,2026-07-30,28-50/西區西屯北屯/房產興趣-跑互動,not_delivering,578,517,,1,,1.19230769,actions:post_engagement,31,1000,總經費,84,14.532872,1.117988,2025-05-13,2025-06-01
2023-06-30,2026-07-30,28-55/西區西屯北區/上班族/理財/寵物(0618調),not_delivering,36592,9959,6,25,53,210.09433962,actions:leadgen.other,11135,16500,總經費,1230,3.36139,3.674264,2025-05-14,2025-08-01
2023-06-30,2026-07-30,"202504 宏廈青川-名單-東區+西區換屋興趣 行銷活動 廣告組合",not_delivering,2673,1782,,,,,,863,7400,總經費,58,2.169847,1.5,2025-06-03,2025-06-20
2023-06-30,2026-07-30,28-55/西區西屯北屯/上班族/行銷設計/精品,not_delivering,11843,5508,1,6,9,385.55555556,actions:leadgen.other,3470,8800,總經費,403,3.402854,2.150145,2025-06-24,2025-08-01
2023-06-30,2026-07-30,"30-60 / 南區南屯西區 / 金融房產興趣",inactive,1100,864,,,,3.60377358,actions:post_engagement,191,70,每日,79,7.181818,1.273148,2025-08-18,進行中
2023-06-30,2026-07-30,28-60/西屯西區太平/藝術相關興趣,inactive,1107,870,,,,,,784,200,每日,40,3.613369,1.272414,2025-08-28,進行中
2023-06-30,2026-07-30,30-60/南屯西區/雙語教育/理財/僑胞/精品,not_delivering,3656,1948,,,3,632.66666667,actions:leadgen.other,1898,200,每日,64,1.750547,1.876797,2025-09-08,進行中
2023-06-30,2026-07-30,28-60/西屯西區北屯/醫美消費者,inactive,1132,889,1,,,,,717,300,每日,26,2.29682,1.273341,2025-09-15,進行中
2023-06-30,2026-07-30,"28-55 / 西區西屯北區 / 娛樂 賺錢 寵物",inactive,1605,993,,,,,,701,250,每日,50,3.115265,1.616314,2025-10-08,進行中
2023-06-30,2026-07-30,"28-55 / 西區西屯南屯 / 質感家居",inactive,1617,900,,,1,848,actions:leadgen.other,848,300,每日,45,2.782931,1.796667,2025-10-17,進行中
2023-06-30,2026-07-30,"202510_惠田璞悅_高效名單_西屯西區南屯_品味生活族群 廣告組合",not_delivering,2791,2494,,,,,,893,300,每日,60,2.149767,1.119086,2025-10-20,進行中
2023-06-30,2026-07-30,28-55/西屯西區南區/1%+人文品味,not_delivering,2347,1689,1,,2,648,actions:leadgen.other,1296,250,每日,70,2.982531,1.38958,2025-11-13,進行中
2023-06-30,2026-07-30,40-65/大里西區西屯/企業主興趣,inactive,3163,1634,,,,,,886,3400,總經費,67,2.118242,1.935741,2025-12-18,2026-01-04
2023-06-30,2026-07-30,40-65/大里西區西屯/精品興趣/置產客,inactive,4333,2022,,,1,1435,actions:leadgen.other,1435,2400,總經費,110,2.538657,2.142928,2025-12-22,2026-01-04
2023-06-30,2026-07-30,40-65/大里西區西屯/自營商興趣,inactive,2264,1328,,,,,,874,2500,總經費,58,2.561837,1.704819,2025-12-22,2026-01-04
2023-06-30,2026-07-30,28-60/西屯西區/法律/會計,inactive,1372,904,,,,,,650,200,每日,49,3.571429,1.517699,2025-12-26,進行中
2023-06-30,2026-07-30,(1510)30-60/西區北區太平/工程顧問/建築專案,inactive,2217,1363,2,,2,590,actions:leadgen.other,1180,250,每日,124,5.593144,1.626559,2026-01-05,進行中
2023-06-30,2026-07-30,"35-65 / 豐原潭子沙鹿&西區北區南屯 / 企業主 / 教育 / 精品",inactive,637,428,,,,,,473,3200,總經費,18,2.825746,1.488318,2026-01-12,2026-01-31
2023-06-30,2026-07-30,30-55/東區西區太平/換屋族/成家(0429調),inactive,21414,7099,3,17,1,314.76470588,actions:onsite_conversion.messaging_conversation_started_7d,5351,6500,總經費,1476,6.892687,3.016481,2026-04-22,2026-05-12
2023-06-30,2026-07-30,35-60/西屯西區/旅居國外/建築設計/美國精品/藝術/留學(0818調),inactive,2203,1286,,,1,1108,actions:leadgen.other,1108,7500,總經費,92,4.176123,1.713064,2024-08-15,2024-09-14
2023-06-30,2026-07-30,30-55/西區南屯/文學閱讀/銀行業/教育,inactive,4832,2928,1,1,3,562.33333333,actions:leadgen.other,1687,5000,總經費,103,2.131623,1.650273,2024-08-23,2024-09-04
2023-06-30,2026-07-30,30-60/南屯西區/雙語教育/顯卡概念股/精品(0903調),not_delivering,11737,5683,1,,7,528.14285714,actions:leadgen.other,3697,3700,總經費,225,1.917015,2.065282,2024-08-29,2024-09-04
2023-06-30,2026-07-30,33-60/西屯西區/商業+律師+高階主管,inactive,5702,3409,,,,,,1165,3000,總經費,135,2.36759,1.672631,2025-02-08,2025-02-18
2023-06-30,2026-07-30,30-55/南屯西區/投資理財/健身/寵物(0226調),inactive,10187,5425,,,8,480.75,actions:leadgen.other,3846,4000,總經費,257,2.522823,1.877788,2025-02-11,2025-03-04
