分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2023-06-29,2026-07-29,32-60/豐原潭子后科/雙語教育/戶外活動/理財(0911調),inactive,17338,6245,9,21,,134.76190476,actions:onsite_conversion.messaging_conversation_started_7d,2830,3000,總經費,1907,10.998962,2.776301,2024-08-20,2024-09-12
2023-06-29,2026-07-29,32-65/東勢豐原潭子/自營商/投資/親子教育,not_delivering,10509,4775,5,2,,799,actions:onsite_conversion.messaging_conversation_started_7d,1598,1600,總經費,524,4.986202,2.200838,2024-08-29,2024-09-03
2023-06-29,2026-07-29,32-65/東勢豐原潭子/自營商/投資/親子教育,inactive,8524,3948,1,5,,356.6,actions:onsite_conversion.messaging_conversation_started_7d,1783,8000,總經費,465,5.455185,2.159068,2024-09-04,2024-10-03
2023-06-29,2026-07-29,"35-65/基地+3k 豐原醫院+2k/醫生 高階公務員 (0918調)",inactive,12194,2335,11,17,,133.76470588,actions:onsite_conversion.messaging_conversation_started_7d,2274,3574,總經費,833,6.831228,5.22227,2024-09-06,2024-10-05
2023-06-29,2026-07-29,30-65/豐原石岡東勢卓蘭/房產興趣,not_delivering,70250,42941,,1,,23.1713281,reach,995,1000,總經費,227,0.323132,1.635966,2024-10-07,2024-11-03
2023-06-29,2026-07-29,"30-65/豐原神岡潭子/精密機械/棒球/電動車/外語(0924調) - 複本",not_delivering,19232,5499,14,44,,109.09090909,actions:onsite_conversion.messaging_conversation_started_7d,4800,4800,總經費,2061,10.716514,3.497363,2024-10-14,2024-11-12
2023-06-29,2026-07-29,32-65/豐原大坑東勢新社/成家/首購/換屋(1030調),not_delivering,20947,6718,10,21,,285.66666667,actions:onsite_conversion.messaging_conversation_started_7d,5999,6000,總經費,1883,8.989354,3.118041,2024-10-24,2024-11-16
2023-06-29,2026-07-29,"38-65/豐原  基地/老師&校長  攝影旅行2",inactive,17419,4795,21,27,,94.81481481,actions:onsite_conversion.messaging_conversation_started_7d,2560,3050,總經費,1325,7.606636,3.632742,2024-11-06,2024-11-30
2023-06-29,2026-07-29,30-65/豐原神岡潭子/精密機械/棒球/電動車/外語(0924調),not_delivering,27205,9703,25,39,,192.30769231,actions:onsite_conversion.messaging_conversation_started_7d,7500,7500,總經費,2280,8.380812,2.803772,2024-11-18,2024-12-12
2023-06-29,2026-07-29,45-65/豐原東勢大坑/換屋族/休旅車/戶外活動/家管興趣(0108五調),not_delivering,20227,6381,16,5,32,275,actions:leadgen.other,8800,8800,總經費,2903,14.352104,3.169879,2024-12-02,2025-01-10
