分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-07-08,2026-08-10,28-55/烏日+5/投資/置產客**,inactive,696,623,,,,,,167,300,每日,24,3.448276,1.117175,2026-06-25,進行中
2026-07-08,2026-08-10,28-60/西屯市政+5/科技投資,inactive,10218,6763,1,,,,,1554,300,每日,311,3.043648,1.510868,2026-06-29,進行中
2026-07-08,2026-08-10,28-60/西屯市政+5/置產客/自營商/高收職業,inactive,8046,4654,,1,3,709,actions:leadgen.other,2127,250,每日,205,2.54785,1.728835,2026-07-01,進行中
2026-07-08,2026-08-10,28-55/烏日+5/上班族(0722+74),active,59810,21334,12,2,24,382,actions:leadgen.other,9168,300,每日,1837,3.071393,2.803506,2026-07-02,進行中
2026-07-08,2026-08-10,28-50/烏日南屯/年輕娛樂,inactive,7226,4021,1,,2,711,actions:leadgen.other,1422,200,每日,177,2.449488,1.797065,2026-07-02,進行中
2026-07-08,2026-08-10,28-55/烏日+5/小資家庭,inactive,596,539,,,,,,112,300,每日,25,4.194631,1.105751,2026-07-03,進行中
2026-07-08,2026-08-10,28-60/西屯市政+5/旅遊/股票,inactive,914,736,,,,,,271,300,每日,21,2.297593,1.241848,2026-07-06,進行中
2026-07-08,2026-08-10,28-60/烏日+5/科技投資,inactive,13512,6507,,,5,463.4,actions:leadgen.other,2317,250,每日,362,2.6791,2.076533,2026-07-08,進行中
2026-07-08,2026-08-10,28-55/南屯文心+5/保險/理財/業務,inactive,4642,3761,1,,,,,832,300,每日,108,2.326583,1.234246,2026-07-08,進行中
2026-07-08,2026-08-10,28-55/西屯市政+5/年輕興趣,inactive,7150,4320,1,,2,719.5,actions:leadgen.other,1439,300,每日,155,2.167832,1.655093,2026-07-08,進行中
2026-07-08,2026-08-10,28-60/烏日+5/汽車興趣,inactive,2364,1811,,,,,,476,300,每日,68,2.876481,1.305356,2026-07-08,進行中
2026-07-08,2026-08-10,30-60/南屯大肚龍井/工業區上班族,active,11776,6318,3,,4,484,actions:leadgen.other,1936,300,每日,339,2.878736,1.863881,2026-08-04,進行中
2026-07-08,2026-08-10,30-65/逢甲+5/投資興趣(N),active,1745,1318,,,,,,361,300,每日,58,3.323782,1.323976,2026-08-04,進行中
2026-07-08,2026-08-10,28-55/烏日+5/旅遊通勤,inactive,4943,3651,,,,,,597,300,每日,121,2.447906,1.353876,2026-07-10,進行中
2026-07-08,2026-08-10,30-65/西屯南屯+5/政治/投資_0724調區,inactive,11919,6248,2,,4,674.75,actions:leadgen.other,2699,250,每日,485,4.069133,1.90765,2026-07-10,進行中
2026-07-08,2026-08-10,28-55/烏日+5/科技質感興趣,inactive,2029,1539,,,,,,422,250,每日,42,2.069985,1.318389,2026-07-10,進行中
2026-07-08,2026-08-10,30-65/烏日大慶/股票/資產配置,inactive,9241,5316,1,,4,429.5,actions:leadgen.other,1718,250,每日,342,3.700898,1.738337,2026-07-13,進行中
2026-07-08,2026-08-10,28-60/南屯+5/司機/藍領,inactive,12345,7510,4,,3,712.33333333,actions:leadgen.other,2137,250,每日,302,2.446335,1.643808,2026-07-13,進行中
2026-07-08,2026-08-10,30-65/七期八期/房東房仲投資,inactive,3077,2279,,,,,,811,250,每日,106,3.444914,1.350154,2026-07-15,進行中
2026-07-08,2026-08-10,28-55/烏日大慶/新婚成家,inactive,3778,2684,,,,,,662,250,每日,106,2.805717,1.407601,2026-07-15,進行中
2026-07-08,2026-08-10,28-55/烏日北彰化/通勤主管,inactive,1862,1454,,,,,,529,250,每日,43,2.309345,1.280605,2026-07-17,進行中
2026-07-08,2026-08-10,28-55/西屯南屯/上班族,inactive,5516,3404,1,,1,1284,actions:leadgen.other,1284,250,每日,115,2.084844,1.620447,2026-07-17,進行中
2026-07-08,2026-08-10,28-55/烏日+5/股票/新家,inactive,16241,7845,2,,6,591.83333333,actions:leadgen.other,3551,300,每日,536,3.300289,2.070236,2026-07-22,進行中
2026-07-08,2026-08-10,28-55/烏日大慶/業務類,inactive,3344,2337,1,,,,,716,300,每日,76,2.272727,1.430894,2026-07-22,進行中
2026-07-08,2026-08-10,28-60/烏日大慶/通勤上班族/投資置產,inactive,5413,2960,,,2,692,actions:leadgen.other,1384,300,每日,177,3.269906,1.828716,2026-07-31,進行中
2026-07-08,2026-08-10,30-65/逢甲洲際/純房產,inactive,7738,4305,,,2,945.5,actions:leadgen.other,1891,300,每日,293,3.786508,1.797445,2026-08-03,進行中
