分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-06-25,2026-07-22,28-55/烏日+5/投資/置產客**,inactive,21666,9785,,1,10,381.9,actions:leadgen.other,3819,300,每日,592,2.732392,2.214205,2026-06-25,進行中
2026-06-25,2026-07-22,28-55/烏日南區/年輕人興趣,inactive,1883,1349,1,,,,,450,300,每日,45,2.389804,1.395849,2026-06-25,進行中
2026-06-25,2026-07-22,28-55/烏日+5/零售/批發/自營商,inactive,2319,1545,,,1,673,actions:leadgen.other,673,300,每日,46,1.983614,1.500971,2026-06-25,進行中
2026-06-25,2026-07-22,28-55/烏日+5/業務性質,inactive,2993,1808,,,1,897,actions:leadgen.other,897,300,每日,80,2.672903,1.65542,2026-06-26,進行中
2026-06-25,2026-07-22,28-55/烏日南區/小家庭/上班族,inactive,1813,1121,1,,,,,535,300,每日,46,2.537231,1.617306,2026-06-26,進行中
2026-06-25,2026-07-22,28-60/西屯市政+5/科技投資,inactive,22735,11834,2,,13,315.61538462,actions:leadgen.other,4103,300,每日,656,2.885419,1.921159,2026-06-29,進行中
2026-06-25,2026-07-22,28-60/文心精科/首購/理財,inactive,2291,1621,,,1,637,actions:leadgen.other,637,300,每日,37,1.615015,1.413325,2026-06-29,進行中
2026-06-25,2026-07-22,28-60/西屯市政+5/置產客/自營商/高收職業,inactive,20697,9862,1,2,8,502.125,actions:leadgen.other,4017,250,每日,679,3.280669,2.098662,2026-07-01,進行中
2026-06-25,2026-07-22,30-60/南屯好市多+5/主管/旅遊/投資置產,inactive,1935,1378,,,,,,500,300,每日,34,1.757106,1.404209,2026-07-01,進行中
2026-06-25,2026-07-22,28-55/烏日彰化/頂客族,inactive,2251,1328,,,,,,525,300,每日,57,2.532208,1.69503,2026-07-01,進行中
2026-06-25,2026-07-22,28-60/烏日+5/置產客/貿易興趣,inactive,1954,1229,,,,,,535,300,每日,45,2.302968,1.589911,2026-07-01,進行中
2026-06-25,2026-07-22,28-55/烏日+5/上班族,inactive,35986,15257,1,1,17,292.64705882,actions:leadgen.other,4975,250,每日,1110,3.084533,2.358655,2026-07-02,進行中
2026-06-25,2026-07-22,28-50/烏日南屯/年輕娛樂,inactive,9949,7016,,,3,527,actions:leadgen.other,1581,300,每日,249,2.502764,1.418044,2026-07-02,進行中
2026-06-25,2026-07-22,28-55/烏日南屯/教育/理財,inactive,7810,4037,1,,3,355.33333333,actions:leadgen.other,1066,300,每日,249,3.18822,1.934605,2026-07-03,進行中
2026-06-25,2026-07-22,28-55/烏日南屯/旅遊/貿易,inactive,3038,1830,,,1,885,actions:leadgen.other,885,300,每日,69,2.271231,1.660109,2026-07-03,進行中
2026-06-25,2026-07-22,28-55/西屯市政+5/健身運動族,inactive,2335,1571,1,,,,,465,300,每日,71,3.040685,1.486314,2026-07-03,進行中
2026-06-25,2026-07-22,28-55/烏日+5/小資家庭,inactive,2702,2084,,,,,,444,300,每日,85,3.145818,1.296545,2026-07-03,進行中
2026-06-25,2026-07-22,28-60/文心森林+5/金融投資(舊稿),inactive,1332,1008,,,,,,280,300,每日,34,2.552553,1.321429,2026-07-03,進行中
2026-06-25,2026-07-22,28-60/西屯市政+5/旅遊/股票,inactive,2120,1730,,,,,,473,300,每日,49,2.311321,1.225434,2026-07-06,進行中
2026-06-25,2026-07-22,28-60/烏日+5/科技投資,inactive,13512,6507,,,5,463.4,actions:leadgen.other,2317,250,每日,362,2.6791,2.076533,2026-07-08,進行中
2026-06-25,2026-07-22,28-55/南屯文心+5/保險/理財/業務,inactive,4642,3761,1,,,,,832,300,每日,108,2.326583,1.234246,2026-07-08,進行中
2026-06-25,2026-07-22,28-60/南屯+5/司機/藍領,active,12278,7483,4,,3,708,actions:leadgen.other,2124,250,每日,301,2.451539,1.640786,2026-07-13,進行中
2026-06-25,2026-07-22,28-55/烏日大慶/新婚成家,active,3715,2643,,,,,,644,250,每日,103,2.772544,1.4056,2026-07-15,進行中
2026-06-25,2026-07-22,28-55/烏日北彰化/通勤主管,active,1817,1436,,,,,,504,250,每日,43,2.366538,1.26532,2026-07-17,進行中
2026-06-25,2026-07-22,28-55/西屯南屯/上班族,active,5493,3398,1,,1,1276,actions:leadgen.other,1276,250,每日,115,2.093574,1.616539,2026-07-17,進行中
2026-06-25,2026-07-22,28-55/西屯市政+5/年輕興趣,inactive,7150,4320,1,,2,719.5,actions:leadgen.other,1439,300,每日,155,2.167832,1.655093,2026-07-08,進行中
2026-06-25,2026-07-22,28-60/烏日+5/汽車興趣,inactive,2364,1811,,,,,,476,300,每日,68,2.876481,1.305356,2026-07-08,進行中
2026-06-25,2026-07-22,28-55/烏日+5/旅遊通勤,inactive,4943,3651,,,,,,597,300,每日,121,2.447906,1.353876,2026-07-10,進行中
2026-06-25,2026-07-22,30-65/西屯市政+5/政治/投資,inactive,2322,1702,1,,1,587,actions:leadgen.other,587,250,每日,91,3.919035,1.364277,2026-07-10,進行中
2026-06-25,2026-07-22,28-55/烏日+5/科技質感興趣,inactive,2029,1539,,,,,,422,250,每日,42,2.069985,1.318389,2026-07-10,進行中
2026-06-25,2026-07-22,30-65/烏日大慶/股票/資產配置,inactive,9241,5316,1,,4,429.5,actions:leadgen.other,1718,250,每日,342,3.700898,1.738337,2026-07-13,進行中
2026-06-25,2026-07-22,30-65/七期八期/房東房仲投資,inactive,3077,2279,,,,,,811,250,每日,106,3.444914,1.350154,2026-07-15,進行中
