分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-06-18,2026-07-22,28-55/烏日南區/自營商/醫療業,inactive,23793,7907,,,7,769.14285714,actions:leadgen.other,5384,300,每日,506,2.126676,3.009106,2026-06-18,進行中
2026-06-18,2026-07-22,28-55/烏日彰化/公務員/傳產老闆,inactive,21727,7416,,,9,522.66666667,actions:leadgen.other,4704,300,每日,298,1.371565,2.929746,2026-06-18,進行中
2026-06-18,2026-07-22,28-60/烏日+5/房產/投資,inactive,2828,1813,,,1,729,actions:leadgen.other,729,300,每日,68,2.404526,1.559846,2026-06-18,進行中
2026-06-18,2026-07-22,28-55/南屯烏日/製造業/大車司機,inactive,8080,3944,,,2,945,actions:leadgen.other,1890,300,每日,133,1.64604,2.048682,2026-06-23,進行中
2026-06-18,2026-07-22,28-55/烏日彰化/新婚成家,inactive,2893,1732,,,,,,580,300,每日,58,2.004839,1.670323,2026-06-23,進行中
2026-06-18,2026-07-22,28-55/烏日彰化/房產/古典興趣,inactive,3456,2405,,,,,,520,300,每日,61,1.765046,1.437006,2026-06-29,進行中
2026-06-18,2026-07-22,28-55/烏日南區/房地產/父母,inactive,4594,2831,1,,,,,589,300,每日,96,2.089682,1.622748,2026-06-29,進行中
2026-06-18,2026-07-22,28-55/烏日彰化/警消/公務員,inactive,6402,2913,,,1,896,actions:leadgen.other,896,250,每日,116,1.811934,2.197734,2026-07-01,進行中
2026-06-18,2026-07-22,28-55/烏日彰化/投資/置產客,inactive,7548,3310,,,1,1121,actions:leadgen.other,1121,250,每日,98,1.298357,2.280363,2026-07-01,進行中
2026-06-18,2026-07-22,28-55/烏日南屯/上班族,inactive,2570,1524,,,,,,571,250,每日,43,1.673152,1.686352,2026-07-03,進行中
2026-06-18,2026-07-22,30-60/烏日南屯/製造業/管理,inactive,1287,820,,,,,,315,250,每日,30,2.331002,1.569512,2026-07-06,進行中
2026-06-18,2026-07-22,30-60/西屯市政+5/投資租賃,inactive,4579,2267,,,1,957,actions:leadgen.other,957,300,每日,98,2.140205,2.01985,2026-07-10,進行中
2026-06-18,2026-07-22,30-65/烏日+5/591(曝光x),inactive,4,4,,,,,,0,300,每日,0,0,1,2026-07-17,進行中
2026-06-18,2026-07-22,30-65/烏日+5/591,active,148,144,,,,,,117,300,每日,2,1.351351,1.027778,2026-07-21,進行中
