# ----------------------------------------
# KRONOTEX - GA4
# 任意形式-G來源關鍵字
# 20260701-20260805
# ----------------------------------------

區隔,所有使用者,所有使用者,所有使用者,所有使用者,所有使用者,所有使用者,總計,總計,總計,總計,總計,總計
最初招攬到使用者的 Google Ads 關鍵字文字,總人數,工作階段,互動工作階段,平均工作階段持續時間,參與度,重要活動,總人數,工作階段,互動工作階段,平均工作階段持續時間,參與度,重要活動
,1822,2129,1317,135.1940288417097,0.6186002818224519,0,1822,2129,1317,135.1940288417097,0.6186002818224519,0,總計
地板,512,551,291,129.40265810344826,0.5281306715063521,0,512,551,291,129.40265810344826,0.5281306715063521,0
(not set),362,454,278,113.79088508370043,0.6123348017621145,0,362,454,278,113.79088508370043,0.6123348017621145,0
超耐磨地板,183,216,138,124.43422826851851,0.6388888888888888,0,183,216,138,124.43422826851851,0.6388888888888888,0
木地板,182,215,151,143.20137355813952,0.7023255813953488,0,182,215,151,143.20137355813952,0.7023255813953488,0
太格木地板,175,225,166,225.67305216444444,0.7377777777777778,0,175,225,166,225.67305216444444,0.7377777777777778,0
耐磨地板,111,120,67,60.902713158333334,0.5583333333333333,0,111,120,67,60.902713158333334,0.5583333333333333,0
kronotex木地板,52,62,44,156.85048901612905,0.7096774193548387,0,52,62,44,156.85048901612905,0.7096774193548387,0
超耐磨木地板,48,53,42,143.99275164150944,0.7924528301886793,0,48,53,42,143.99275164150944,0.7924528301886793,0
耐磨木地板,24,28,19,233.33987182142855,0.6785714285714286,0,24,28,19,233.33987182142855,0.6785714285714286,0
防水地板,23,29,14,207.5094359310345,0.4827586206896552,0,23,29,14,207.5094359310345,0.4827586206896552,0
隔音地板,21,23,13,128.092331,0.5652173913043478,0,21,23,13,128.092331,0.5652173913043478,0
耐磨木,15,19,12,180.55116526315788,0.631578947368421,0,15,19,12,180.55116526315788,0.631578947368421,0
地板推薦,13,13,8,29.863055846153845,0.6153846153846154,0,13,13,8,29.863055846153845,0.6153846153846154,0
地板收邊條,13,14,6,18.322761071428573,0.42857142857142855,0,13,14,6,18.322761071428573,0.42857142857142855,0
木地板顏色挑選,12,15,10,50.4709316,0.6666666666666666,0,12,15,10,50.4709316,0.6666666666666666,0
木質地板,12,12,8,26.996986333333336,0.6666666666666666,0,12,12,8,26.996986333333336,0.6666666666666666,0
超耐磨地板推薦,12,15,11,198.0397266,0.7333333333333333,0,12,15,11,198.0397266,0.7333333333333333,0
卡扣式木地板,9,12,9,108.34632766666665,0.75,0,9,12,9,108.34632766666665,0.75,0
卡扣木地板,9,11,5,236.20085972727273,0.45454545454545453,0,9,11,5,236.20085972727273,0.45454545454545453,0
地板隔音,6,7,3,19.47825,0.42857142857142855,0,6,7,3,19.47825,0.42857142857142855,0
綠建築建材,6,7,5,40.79813785714286,0.7142857142857143,0,6,7,5,40.79813785714286,0.7142857142857143,0
綠建材地板,5,6,5,59.942352666666665,0.8333333333333334,0,5,6,5,59.942352666666665,0.8333333333333334,0
木紋地板,4,4,2,124.16445875,0.5,0,4,4,2,124.16445875,0.5,0
疏水木地板,3,3,1,6.844817666666667,0.3333333333333333,0,3,3,1,6.844817666666667,0.3333333333333333,0
防水木地板,3,6,2,273.3231663333333,0.3333333333333333,0,3,6,2,273.3231663333333,0.3333333333333333,0
地板安裝,2,2,2,93.957533,1,0,2,2,2,93.957533,1,0
木地板推薦,2,2,2,406.8512635,1,0,2,2,2,406.8512635,1,0
綠建材木地板,2,4,2,40.653920750000005,0.5,0,2,4,2,40.653920750000005,0.5,0
地板綠建材標章,1,1,1,133.39719,1,0,1,1,1,133.39719,1,0

