分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,成果,成果指標,每次成果成本,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-07-01,2026-08-05,20260625_人生新開始(影片),not_delivering,275,220,,,,,,,196,300,每日,7,2.545455,1.25,2026-07-02,進行中
2026-07-01,2026-08-05,0508_淨土小屋(影片),not_delivering,30,29,,,,,,,1,300,每日,2,6.666667,1.034483,2026-07-02,進行中
2026-07-01,2026-08-05,20260611_合掌屋(影片)V2,inactive,3827,2709,2,,1,1,actions:leadgen.other,976,976,300,每日,171,4.468252,1.412698,2026-07-02,進行中
2026-07-01,2026-08-05,0508_淨土小屋(影片),not_delivering,10733,5246,,,10,10,actions:leadgen.other,358.5,3585,300,每日,371,3.456629,2.04594,2026-07-02,進行中
2026-07-01,2026-08-05,20260625_人生新開始(影片),inactive,121,93,,,,,,,70,300,每日,6,4.958678,1.301075,2026-07-02,進行中
2026-07-01,2026-08-05,20260611_合掌屋(影片)V2,inactive,6271,4001,3,,1,1,actions:leadgen.other,1790,1790,300,每日,231,3.683623,1.567358,2026-07-02,進行中
2026-07-01,2026-08-05,0508_淨土小屋(影片),not_delivering,10294,5485,1,,8,8,actions:leadgen.other,421.875,3375,300,每日,402,3.905187,1.876755,2026-07-06,進行中
2026-07-01,2026-08-05,20260625_人生新開始(影片),inactive,3,3,,,,,,,0,300,每日,0,0,1,2026-07-06,進行中
2026-07-01,2026-08-05,20260611_合掌屋(影片)V2,inactive,7674,4910,,,2,2,actions:leadgen.other,929,1858,300,每日,294,3.831118,1.562933,2026-07-06,進行中
2026-07-01,2026-08-05,20260611_合掌屋(影片)V2,inactive,3828,2706,1,1,2,2,actions:leadgen.other,572.5,1145,300,每日,147,3.840125,1.414634,2026-07-20,進行中
2026-07-01,2026-08-05,0508_淨土小屋(影片),not_delivering,5023,3358,,,1,1,actions:leadgen.other,1956,1956,300,每日,149,2.966355,1.495831,2026-07-20,進行中
2026-07-01,2026-08-05,20260723_戶外夜景,inactive,1021,781,,,,,,,261,300,每日,74,7.247796,1.307298,2026-01-13,進行中
2026-07-01,2026-08-05,20260723_戶外夜景,not_delivering,2947,1751,,,2,2,actions:leadgen.other,552,1104,300,每日,113,3.834408,1.683038,2026-07-20,進行中
2026-07-01,2026-08-05,20260723_戶外夜景,not_delivering,0,0,,,,,,,0,300,每日,0,0,0,2026-07-02,進行中
2026-07-01,2026-08-05,20260723_戶外夜景,not_delivering,537,419,,,,,,,168,300,每日,31,5.772812,1.281623,2026-07-06,進行中
2026-07-01,2026-08-05,0508_淨土小屋(影片),inactive,805,613,,,,,,,323,300,每日,29,3.602484,1.313214,2026-07-24,進行中
2026-07-01,2026-08-05,20260611_合掌屋(影片)V2,not_delivering,3421,2393,1,,1,1,actions:leadgen.other,756,756,300,每日,156,4.56007,1.429586,2026-07-24,進行中
2026-07-01,2026-08-05,20260723_戶外夜景,not_delivering,1270,863,,,,,,,372,300,每日,55,4.330709,1.471611,2026-07-24,進行中
2026-07-01,2026-08-05,20260723_戶外夜景,inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-07-29,進行中
2026-07-01,2026-08-05,0508_淨土小屋(影片),active,2631,1862,,,3,3,actions:leadgen.other,333.66666667,1001,300,每日,109,4.142911,1.412997,2026-07-29,進行中
2026-07-01,2026-08-05,20260611_合掌屋(影片)V2,inactive,2426,1850,1,,1,1,actions:leadgen.other,682,682,300,每日,100,4.122012,1.311351,2026-07-29,進行中
2026-07-01,2026-08-05,20260803_露營車(影片),active,973,738,,1,1,1,actions:leadgen.other,436,436,300,每日,36,3.699897,1.318428,2026-07-29,進行中
2026-07-01,2026-08-05,20260803_露營車(影片),active,1040,726,,,1,1,actions:leadgen.other,482,482,300,每日,48,4.615385,1.432507,2026-01-13,進行中
2026-07-01,2026-08-05,0508_淨土小屋(影片),inactive,677,529,,,,,,,212,300,每日,17,2.511078,1.279773,2026-08-03,進行中
2026-07-01,2026-08-05,20260803_露營車(影片),active,837,597,,,1,1,actions:leadgen.other,394,394,300,每日,30,3.584229,1.40201,2026-08-03,進行中
2026-07-01,2026-08-05,0309_觀念分享(影片),not_delivering,0,0,,,,,,,0,300,每日,0,0,0,2026-04-24,進行中
2026-07-01,2026-08-05,0508_淨土小屋(影片),not_delivering,0,0,,,,,,,0,300,每日,0,0,0,2026-04-24,進行中
2026-07-01,2026-08-05,0508_淨土小屋(影片),inactive,23524,10402,7,,25,25,actions:leadgen.other,265.44,6636,300,每日,984,4.182962,2.261488,2026-01-13,進行中
2026-07-01,2026-08-05,0309_觀念分享(影片),inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-01-13,進行中
2026-07-01,2026-08-05,0309_觀念分享(影片),not_delivering,0,0,,,,,,,0,300,每日,0,0,0,2025-12-31,進行中
2026-07-01,2026-08-05,0508_淨土小屋(影片),not_delivering,0,0,,,,,,,0,300,每日,0,0,0,2025-12-31,進行中
2026-07-01,2026-08-05,0309_觀念分享(影片),inactive,0,0,,,,,,,0,250,每日,0,0,0,2026-06-03,進行中
2026-07-01,2026-08-05,0508_淨土小屋(影片),not_delivering,0,0,,,,,,,0,250,每日,0,0,0,2026-06-03,進行中
2026-07-01,2026-08-05,0309_觀念分享(影片),inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-06-03,進行中
2026-07-01,2026-08-05,0508_淨土小屋(影片),not_delivering,0,0,,,,,,,0,300,每日,0,0,0,2026-06-03,進行中
2026-07-01,2026-08-05,0508_淨土小屋(影片),not_delivering,345,303,,,,,,,107,300,每日,11,3.188406,1.138614,2026-06-11,進行中
2026-07-01,2026-08-05,0508_淨土小屋(影片),inactive,0,0,,,,,,,0,200,每日,0,0,0,2026-06-11,進行中
2026-07-01,2026-08-05,20260611_合掌屋(影片)V2,active,14127,6937,8,1,14,14,actions:leadgen.other,224.28571429,3140,300,每日,825,5.839881,2.036471,2026-01-13,進行中
2026-07-01,2026-08-05,20260611_合掌屋(影片)V2,inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-06-11,進行中
2026-07-01,2026-08-05,20260611_合掌屋(影片)V2,not_delivering,0,0,,,,,,,0,250,每日,0,0,0,2026-06-03,進行中
2026-07-01,2026-08-05,20260611_合掌屋(影片)V2,not_delivering,0,0,,,,,,,0,200,每日,0,0,0,2026-06-11,進行中
2026-07-01,2026-08-05,20260625_人生新開始(影片),inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-01-13,進行中
2026-07-01,2026-08-05,0508_淨土小屋(影片),not_delivering,149,141,,,,,,,46,300,每日,1,0.671141,1.056738,2026-06-25,進行中
2026-07-01,2026-08-05,20260611_合掌屋(影片)V2,inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-06-25,進行中
2026-07-01,2026-08-05,20260625_人生新開始(影片),not_delivering,738,561,1,,,,,,303,300,每日,33,4.471545,1.315508,2026-06-11,進行中
2026-07-01,2026-08-05,20260625_人生新開始(影片),not_delivering,804,595,,,,,,,378,300,每日,29,3.606965,1.351261,2026-06-25,進行中
