# ----------------------------------------
# https://www.famwood.com.tw/
# 自然紅屋報表-報表
# 20260701-20260805
# ----------------------------------------

區隔,所有使用者,所有使用者,所有使用者,所有使用者,所有使用者,所有使用者,所有使用者,總計,總計,總計,總計,總計,總計,總計
網頁標題與畫面名稱,總人數,工作階段,互動工作階段,平均工作階段持續時間,參與度,重要活動,使用者重要事件發生率,總人數,工作階段,互動工作階段,平均工作階段持續時間,參與度,重要活動,使用者重要事件發生率
,37568,49332,10700,31.388663900328396,0.21689775399335118,589,0.011051930758988016,37568,49332,10700,31.388663900328396,0.21689775399335118,589,0.011051930758988016,總計
紅屋日誌,33844,43638,7618,4.62147429508685,0.1745726201934094,20,0.00047275735728637277,33844,43638,7618,4.62147429508685,0.1745726201934094,20,0.00047275735728637277
自然紅屋,2951,3746,2606,124.9826451769888,0.6956753870795516,244,0.07302989130434782,2951,3746,2606,124.9826451769888,0.6956753870795516,244,0.07302989130434782
行動木屋 - 自然紅屋,766,1135,847,246.56760993480185,0.7462555066079295,100,0.10775295663600526,766,1135,847,246.56760993480185,0.7462555066079295,100,0.10775295663600526
木屋款式 - 自然紅屋,564,853,682,314.029530101993,0.7995310668229777,60,0.08362989323843416,564,853,682,314.029530101993,0.7995310668229777,60,0.08362989323843416
木屋參訪 - 自然紅屋,592,802,635,137.6195728578554,0.7917705735660848,57,0.06621392190152801,592,802,635,137.6195728578554,0.7917705735660848,57,0.06621392190152801
常見問題,240,294,180,110.70986308163263,0.6122448979591837,23,0.09166666666666666,240,294,180,110.70986308163263,0.6122448979591837,23,0.09166666666666666
紅屋沿革,154,208,177,212.29476084615382,0.8509615384615384,14,0.08496732026143791,154,208,177,212.29476084615382,0.8509615384615384,14,0.08496732026143791
OnOnNature,185,232,173,107.83374656034482,0.7456896551724138,23,0.10810810810810811,185,232,173,107.83374656034482,0.7456896551724138,23,0.10810810810810811
青銀后土村 - 自然紅屋,126,161,133,265.41125030434785,0.8260869565217391,17,0.11904761904761904,126,161,133,265.41125030434785,0.8260869565217391,17,0.11904761904761904
6進大院 vs 7期豪宅,107,145,123,83.68011110344827,0.8482758620689655,3,0.028037383177570093,107,145,123,83.68011110344827,0.8482758620689655,3,0.028037383177570093
園區交通,84,101,92,126.91670063366337,0.9108910891089109,9,0.0963855421686747,84,101,92,126.91670063366337,0.9108910891089109,9,0.0963855421686747
從都市煩囂到鄉村寧靜：跟著香港朋友追尋台灣 Tiny House 驚奇之旅！,77,103,86,231.23791417475726,0.8349514563106796,2,0.025974025974025976,77,103,86,231.23791417475726,0.8349514563106796,2,0.025974025974025976
城郊小家園 × 私人湯,70,89,82,55.816107168539325,0.9213483146067416,5,0.07142857142857142,70,89,82,55.816107168539325,0.9213483146067416,5,0.07142857142857142
一小屋，一小田，城郊小家園。只要一個轉念，生活就可改變 !,70,85,79,92.80752710588236,0.9294117647058824,5,0.07142857142857142,70,85,79,92.80752710588236,0.9294117647058824,5,0.07142857142857142
案例分享-屏東竹田,24,29,26,45.76938079310345,0.896551724137931,2,0.08333333333333333,24,29,26,45.76938079310345,0.896551724137931,2,0.08333333333333333
LongStay Village 療癒生活營 療癒自己，療癒土地，療癒群居,21,25,14,135.13348632,0.56,0,0,21,25,14,135.13348632,0.56,0,0
案例分享-苗栗銅鑼,13,15,14,35.76708386666667,0.9333333333333333,0,0,13,15,14,35.76708386666667,0.9333333333333333,0,0
【50+生活誌】15坪的療癒幸福！謝東興：50後蓋小木屋，房子可小但自然要大,15,17,11,61.60407305882353,0.6470588235294118,1,0.06666666666666667,15,17,11,61.60407305882353,0.6470588235294118,1,0.06666666666666667
【宥勝去哪兒】 又來一間迷你屋！瘋狂迷你屋圓夢計劃 (六),10,13,10,24.54338784615385,0.7692307692307693,0,0,10,13,10,24.54338784615385,0.7692307692307693,0,0
案例分享-新北淡水,10,11,8,53.83296490909092,0.7272727272727273,1,0.1,10,11,8,53.83296490909092,0.7272727272727273,1,0.1
消息推廣 - 自然紅屋,7,8,5,15.688451375000001,0.625,0,0,7,8,5,15.688451375000001,0.625,0,0
餐點介紹,7,8,5,169.65118387500002,0.625,2,0.2857142857142857,7,8,5,169.65118387500002,0.625,2,0.2857142857142857
「夢田一村」的藍圖,3,6,3,5.409967333333333,0.5,0,0,3,6,3,5.409967333333333,0.5,0,0
【DECOmyplace】最適合台灣環境的原木行動木屋,2,3,3,164.54339833333333,1,1,0.5,2,3,3,164.54339833333333,1,1,0.5
大學生對微屋運動的高度關注！vs自然紅屋 (輔仁大學 feat.公視),6,9,3,11.635600777777777,0.3333333333333333,0,0,6,9,3,11.635600777777777,0.3333333333333333,0,0
【宥勝去哪兒】 一起來去挑房子！瘋狂迷你屋圓夢計劃 (一),2,2,2,1101.1921955,1,0,0,2,2,2,1101.1921955,1,0,0
八大新聞 ＜壯世代新生活＞,3,3,2,255.02450366666667,0.6666666666666666,0,0,3,3,2,255.02450366666667,0.6666666666666666,0,0
如果有一種自由，從小小木造房子開始 生活的自由，從思考你的居住空間開始,4,5,2,9.1024832,0.4,0,0,4,5,2,9.1024832,0.4,0,0
自然の赤い家,2,2,2,70.673744,1,0,0,2,2,2,70.673744,1,0,0
Natural Red House,1,1,1,88.520554,1,0,0,1,1,1,88.520554,1,0,0
Red House Log,1,1,1,112.828463,1,0,0,1,1,1,112.828463,1,0,0
The alternative house,2,2,1,6.648623,0.5,0,0,2,2,1,6.648623,0.5,0,0
「伴農共老」的新願景 「一小屋。半畝田 一群人。桃花源」,3,4,1,244.60228225,0.25,0,0,3,4,1,244.60228225,0.25,0,0
【TVBS】5坪大現代農舍　民眾試住後再買,2,2,1,16.965166500000002,0.5,0,0,2,2,1,16.965166500000002,0.5,0,0
【宥勝去哪兒】 蓋房子只花兩小時！？迷你屋計畫(四),2,3,1,77.631229,0.3333333333333333,0,0,2,3,1,77.631229,0.3333333333333333,0,0
食農整合-下鄉住,1,1,1,490.927896,1,0,0,1,1,1,490.927896,1,0,0
「小建築」的生活實驗,2,2,0,0,0,0,0,2,2,0,0,0,0,0
【EVERYDAY OBJECT】來自台灣團隊的「行動木屋」- FAMWOOD 輕式住宅帶你重返自然本質,1,1,0,16.423686,0,0,0,1,1,0,16.423686,0,0,0
【信傳媒】「不想靠長照過餘生...」退休後第三人生：65歲的他打造台中最美行動木屋,2,3,0,0,0,0,0,2,3,0,0,0,0,0
【商業周刊】讓人捨120坪豪宅，也要搬進的迷你小屋紅什麼？,1,2,0,0,0,0,0,1,2,0,0,0,0,0

