# ----------------------------------------
# https://www.famwood.com.tw/
# 自然紅屋報表-G/CPC/重要事件
# 20260801-20260831
# ----------------------------------------

區隔,所有使用者,付費流量,G/使用者來源媒介/cpc,所有使用者,所有使用者
事件名稱,form_submit,form_submit,form_submit,click_line,click_tel
最初招攬到使用者的 Google Ads 關鍵字文字,事件計數,事件計數,事件計數,事件計數,事件計數
,327,149,133,95,39,總計
(not set),205,29,11,65,32
移動 式 組合 屋,27,27,27,3,2
移動 小 木屋,17,17,17,2,0
自然 紅屋,14,12,14,5,2
移動 式 組合 屋 價格,12,12,12,6,0
紅屋 木屋,6,6,6,0,0
度假 屋,5,5,5,1,2
移動 式 木屋,5,5,5,2,0
移動 木屋,5,5,5,0,0
度假別墅,4,4,4,0,0
微型 住宅,4,4,4,1,0
台灣 木屋,3,3,3,2,0
自然 紅屋 價格,3,3,3,1,1
台中 木屋,2,2,2,2,0
台中 紅屋,2,2,2,3,0
木屋 價格,2,2,2,0,0
迷你 屋,2,2,2,0,0
退休宅,2,2,2,0,0
微型 屋,1,1,1,0,0
微型 房屋,1,1,1,0,0
模 組 化 房屋,1,1,1,0,0
渡 假 宅,1,1,1,0,0
移動 房屋 台灣,1,1,1,0,0
移動 組合 屋,1,1,1,1,0
行動 木屋,1,1,1,0,0
泱 泱 自然,0,0,0,1,0

