分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,成果,成果指標,每次成果成本,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-08-01,2026-08-31,"35-65 / 中部 / 露營興趣(0108+興趣)",inactive,1362,988,,,1,1,actions:leadgen.other,608,608,300,每日,44,3.230543,1.378543,2025-12-31,進行中
2026-08-01,2026-08-31,"35-65 / 中彰投 / 退休度假興趣(0212改地點)",active,32647,12144,4,,28,28,actions:leadgen.other,332.14285714,9300,300,每日,1508,4.619107,2.688323,2026-01-13,進行中
2026-08-01,2026-08-31,"35-65 / 桃竹苗 / 長輩休閒",active,19934,7879,2,1,12,12,actions:leadgen.other,539.75,6477,300,每日,758,3.802548,2.530017,2026-02-24,進行中
2026-08-01,2026-08-31,"35-65 / 台南高雄 / 長輩休閒",not_delivering,0,0,,,,,,,0,350,每日,0,0,0,2026-04-08,進行中
2026-08-01,2026-08-31,"35-65 / 豐原北屯山線 / 戶外家具/自營商",archived,0,0,,,,,,,0,300,每日,0,0,0,2026-04-22,進行中
2026-08-01,2026-08-31,"35-65 / 竹北+8K / 露營興趣(曝光問題)",inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-04-22,進行中
2026-08-01,2026-08-31,"35-65 / 水湳石岡+8 / 戶外家具/露營",inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-04-24,進行中
2026-08-01,2026-08-31,"35-65 / 台南高雄 / 長輩休閒",inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-05-08,進行中
2026-08-01,2026-08-31,"35-65 / 竹北+8K / 露營興趣",inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-05-20,進行中
2026-08-01,2026-08-31,"35-65 / 台南高雄 / 土地主/退休/慢活",inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-05-22,進行中
2026-08-01,2026-08-31,"35-65 / 竹北+10K / 私校教育/土地/飛行常客",inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-05-22,進行中
2026-08-01,2026-08-31,"35-65 / 台中山縣 / 退休度假興趣",inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-05-27,進行中
2026-08-01,2026-08-31,35-65/中彰投山區/高級運動/生活品質,inactive,0,0,,,,,,,0,250,每日,0,0,0,2026-06-03,進行中
2026-08-01,2026-08-31,35-65/台南高雄山區/退休度假/古董/園藝,inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-06-03,進行中
