分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,成果,成果指標,每次成果成本,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-08-01,2026-08-31,20260723_戶外夜景,inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-01-13,進行中
2026-08-01,2026-08-31,20260723_戶外夜景,not_delivering,8,6,,,,,,,4,300,每日,0,0,1.333333,2026-07-20,進行中
2026-08-01,2026-08-31,20260723_戶外夜景,not_delivering,0,0,,,,,,,0,300,每日,0,0,0,2026-07-02,進行中
2026-08-01,2026-08-31,20260723_戶外夜景,not_delivering,0,0,,,,,,,0,300,每日,0,0,0,2026-07-06,進行中
2026-08-01,2026-08-31,0508_淨土小屋(影片),inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-07-24,進行中
2026-08-01,2026-08-31,20260611_合掌屋(影片)V2,not_delivering,0,0,,,,,,,0,300,每日,0,0,0,2026-07-24,進行中
2026-08-01,2026-08-31,20260723_戶外夜景,not_delivering,0,0,,,,,,,0,300,每日,0,0,0,2026-07-24,進行中
2026-08-01,2026-08-31,20260723_戶外夜景,inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-07-29,進行中
2026-08-01,2026-08-31,0508_淨土小屋(影片),inactive,5528,3498,,,5,5,actions:leadgen.other,388.8,1944,300,每日,206,3.726483,1.580332,2026-07-29,進行中
2026-08-01,2026-08-31,20260611_合掌屋(影片)V2,not_delivering,2314,1787,,,1,1,actions:leadgen.other,654,654,300,每日,88,3.802939,1.294908,2026-07-29,進行中
2026-08-01,2026-08-31,20260803_露營車(影片),not_delivering,6295,3378,,1,6,6,actions:leadgen.other,459.66666667,2758,300,每日,204,3.240667,1.863529,2026-07-29,進行中
2026-08-01,2026-08-31,20260803_露營車(影片),active,6363,3200,1,,6,6,actions:leadgen.other,390.33333333,2342,300,每日,268,4.21185,1.988438,2026-01-13,進行中
2026-08-01,2026-08-31,0508_淨土小屋(影片),not_delivering,1825,1360,,,,,,,591,300,每日,65,3.561644,1.341912,2026-08-03,進行中
2026-08-01,2026-08-31,20260803_露營車(影片),inactive,3468,2171,2,,2,2,actions:leadgen.other,785.5,1571,300,每日,108,3.114187,1.597421,2026-08-03,進行中
2026-08-01,2026-08-31,20260611_合掌屋(影片)V2,active,12459,5834,2,1,7,7,actions:leadgen.other,487.14285714,3410,300,每日,486,3.900795,2.135585,2026-02-24,進行中
2026-08-01,2026-08-31,20260803_露營車(影片),active,3257,1896,,,4,4,actions:leadgen.other,423,1692,300,每日,116,3.56156,1.717827,2026-02-24,進行中
2026-08-01,2026-08-31,0508_淨土小屋(影片),inactive,3360,2031,,,1,1,actions:leadgen.other,1061,1061,300,每日,125,3.720238,1.654357,2026-02-24,進行中
2026-08-01,2026-08-31,20260803_露營車(影片),not_delivering,516,385,,,1,1,actions:leadgen.other,245,245,300,每日,15,2.906977,1.34026,2025-12-31,進行中
2026-08-01,2026-08-31,20260611_合掌屋(影片)V2,inactive,846,689,,,,,,,363,300,每日,29,3.427896,1.227866,2025-12-31,進行中
2026-08-01,2026-08-31,20260611_合掌屋(影片)V2,inactive,7491,4749,1,1,5,5,actions:leadgen.other,366.6,1833,300,每日,326,4.351889,1.577385,2026-08-19,進行中
2026-08-01,2026-08-31,20260803_露營車(影片),inactive,984,733,,,1,1,actions:leadgen.other,538,538,300,每日,53,5.386179,1.342428,2026-08-19,進行中
2026-08-01,2026-08-31,0508_淨土小屋(影片),active,145,131,,,,,,,36,300,每日,4,2.758621,1.10687,2026-08-19,進行中
2026-08-01,2026-08-31,20260825_縮時影片,inactive,6130,3354,,,5,5,actions:leadgen.other,341.6,1708,300,每日,256,4.176183,1.827668,2026-01-13,進行中
2026-08-01,2026-08-31,20260825_縮時影片,active,3946,2505,,,3,3,actions:leadgen.other,437,1311,300,每日,153,3.877344,1.57525,2026-08-19,進行中
2026-08-01,2026-08-31,20260825_縮時影片,inactive,858,700,,,,,,,314,300,每日,31,3.613054,1.225714,2026-02-24,進行中
2026-08-01,2026-08-31,1231_KOL影,inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-02-24,進行中
2026-08-01,2026-08-31,1231_首波圖影V2,inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-02-24,進行中
2026-08-01,2026-08-31,1231_首波圖影V2(單圖),inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-02-24,進行中
2026-08-01,2026-08-31,0508_淨土小屋(影片),active,13399,7029,2,,9,9,actions:leadgen.other,410.55555556,3695,300,每日,524,3.91074,1.906246,2026-01-13,進行中
2026-08-01,2026-08-31,0309_觀念分享(影片),inactive,0,0,,,,,,,0,300,每日,0,0,0,2025-12-31,進行中
2026-08-01,2026-08-31,0508_淨土小屋(影片),inactive,0,0,,,,,,,0,300,每日,0,0,0,2025-12-31,進行中
2026-08-01,2026-08-31,20260611_合掌屋(影片)V2,inactive,6755,3963,1,,8,8,actions:leadgen.other,194.375,1555,300,每日,460,6.809771,1.704517,2026-01-13,進行中
2026-08-01,2026-08-31,20260625_人生新開始(影片),not_delivering,0,0,,,,,,,0,300,每日,0,0,0,2026-07-02,進行中
