素材資源關聯報表
2026年8月1日 - 2026年8月31日
素材資源狀態,素材資源,等級,狀態,狀態理由,新增者：,上次更新時間,貨幣代碼,TrueView 平均單次收視出價,平均千次曝光出價,互動,互動率,平均費用,曝光,費用,點擊,轉換率,轉換,單次轉換費用
已啟用,單院：大單、小單、湯院,廣告活動,符合資格,,廣告主,2025年12月24日 下午2:11,TWD,0,974.64,32,8.04%,12.12,398,387.91,32,0.00%,0.00,0
已啟用,原木微型屋，30年木業經驗,廣告活動,符合資格,,廣告主,2026年1月16日 上午10:16,TWD,0,849.33,31,5.36%,15.84,578,490.91,31,0.00%,0.00,0
已啟用,原木微型屋，30年木業經驗,廣告活動,符合資格,,廣告主,2025年12月24日 下午2:11,TWD,0,767.34,94,6.76%,11.36,"1,391",1067.38,94,0.00%,0.00,0
已啟用,單院：大單、小單、湯院,廣告活動,符合資格,,廣告主,2026年1月16日 上午10:16,TWD,0,925.92,15,4.17%,22.22,360,333.33,15,0.00%,0.00,0
已啟用,合院：雙院、3院基本&旗艦,廣告活動,符合資格,,廣告主,2025年12月24日 下午2:11,TWD,0,759.76,83,6.07%,12.52,"1,368",1039.35,83,0.00%,0.00,0
已啟用,100%植物漆+厚木，天然防護,廣告活動,符合資格,,廣告主,2026年1月16日 上午10:16,TWD,0,1093.09,4,5.88%,18.58,68,74.33,4,0.00%,0.00,0
已啟用,100%植物漆+厚木，天然防護,廣告活動,符合資格,,廣告主,2025年12月24日 下午2:11,TWD,0,640.55,7,5.69%,11.26,123,78.79,7,0.00%,0.00,0
已啟用,合院：雙院、3院基本&旗艦,廣告活動,符合資格,,廣告主,2026年1月16日 上午10:16,TWD,0,1238.92,30,5.85%,21.19,513,635.57,30,0.00%,0.00,0
已啟用,台灣完工出廠，品質可靠,廣告活動,符合資格,,廣告主,2026年1月16日 上午10:16,TWD,0,679.61,42,3.32%,20.45,"1,264",859.03,42,0.00%,0.00,0
已啟用,台灣完工出廠，品質可靠,廣告活動,符合資格,,廣告主,2025年12月24日 下午2:11,TWD,0,626.52,175,5.57%,11.26,"3,144",1969.77,175,0.00%,0.00,0
已啟用,鋼木共築，美感與結構兼備,廣告活動,符合資格,,廣告主,2025年12月24日 下午2:11,TWD,0,756.53,25,5.76%,13.13,434,328.33,25,0.00%,0.00,0
已啟用,鋼木共築，美感與結構兼備,廣告活動,符合資格,,廣告主,2026年1月16日 上午10:16,TWD,0,801.30,20,3.32%,24.12,602,482.38,20,0.00%,0.00,0
已啟用,青銀后土村，慢活生活境域,廣告活動,符合資格,,廣告主,2026年1月16日 上午10:16,TWD,0,0.00,0,0.00%,0,110,0.00,0, --,0.00,0
已啟用,全實木建造Ｘ系統整合,廣告活動,符合資格,,廣告主,2026年1月16日 上午10:16,TWD,0,787.54,65,3.66%,21.49,"1,774",1397.09,65,0.00%,0.00,0
已啟用,青銀后土村，慢活生活境域,廣告活動,符合資格,,廣告主,2025年12月24日 下午2:11,TWD,0,813.49,6,5.13%,15.86,117,95.18,6,0.00%,0.00,0
已啟用,全實木建造Ｘ系統整合,廣告活動,符合資格,,廣告主,2025年12月24日 下午2:11,TWD,0,739.89,278,6.82%,10.85,"4,075",3015.04,278,0.00%,0.00,0
已啟用,一小屋 一小田 城郊小家園,廣告活動,符合資格,,廣告主,2025年12月24日 下午2:11,TWD,0,490.63,17,4.94%,9.93,344,168.78,17,0.00%,0.00,0
已啟用,台中石岡OnOnNature園區,廣告活動,符合資格,,廣告主,2025年12月24日 下午2:11,TWD,0,756.53,86,6.33%,11.95,"1,358",1027.37,86,0.00%,0.00,0
已啟用,日式木屋質感，溫馨芬芳,廣告活動,符合資格,,廣告主,2025年12月24日 下午2:11,TWD,0,668.09,77,6.38%,10.47,"1,207",806.38,77,0.00%,0.00,0
已啟用,台中石岡OnOnNature園區,廣告活動,符合資格,,廣告主,2026年1月16日 上午10:16,TWD,0,939.01,49,4.96%,18.91,987,926.80,49,0.00%,0.00,0
已啟用,日式木屋質感，溫馨芬芳,廣告活動,符合資格,,廣告主,2026年1月16日 上午10:16,TWD,0,926.00,55,3.93%,23.55,"1,399",1295.48,55,0.00%,0.00,0
已啟用,一小屋 一小田 城郊小家園,廣告活動,符合資格,,廣告主,2026年1月16日 上午10:16,TWD,0,644.68,8,3.03%,21.27,264,170.20,8,0.00%,0.00,0
