# ----------------------------------------
# https://www.famwood.com.tw/
# 自然紅屋報表-G來源關鍵字
# 20260801-20260831
# ----------------------------------------

區隔,所有使用者,所有使用者,所有使用者,所有使用者,所有使用者,所有使用者,總計,總計,總計,總計,總計,總計
最初招攬到使用者的 Google Ads 關鍵字文字,總人數,工作階段,互動工作階段,平均工作階段持續時間,參與度,重要活動,總人數,工作階段,互動工作階段,平均工作階段持續時間,參與度,重要活動
,1536,2016,1430,258.3597270863096,0.7093253968253969,156,1536,2016,1430,258.3597270863096,0.7093253968253969,156,總計
移動 式 組合 屋,449,554,398,293.87263219855595,0.7184115523465704,29,449,554,398,293.87263219855595,0.7184115523465704,29
移動 式 組合 屋 價格,236,288,210,165.89934750000003,0.7291666666666666,12,236,288,210,165.89934750000003,0.7291666666666666,12
度假別墅,123,136,91,73.11830102205883,0.6691176470588235,4,123,136,91,73.11830102205883,0.6691176470588235,4
度假 屋,105,122,85,88.44886321311476,0.6967213114754098,7,105,122,85,88.44886321311476,0.6967213114754098,7
(not set),89,187,94,430.44799056149725,0.5026737967914439,31,89,187,94,430.44799056149725,0.5026737967914439,31
退休宅,69,82,64,144.01151630487806,0.7804878048780488,2,69,82,64,144.01151630487806,0.7804878048780488,2
移動 小 木屋,59,85,66,308.5504904352941,0.7764705882352941,17,59,85,66,308.5504904352941,0.7764705882352941,17
紅屋 木屋,48,70,52,414.50483002857146,0.7428571428571429,6,48,70,52,414.50483002857146,0.7428571428571429,6
自然 紅屋 價格,41,53,41,321.3711212264151,0.7735849056603774,4,41,53,41,321.3711212264151,0.7735849056603774,4
移動 組合 屋,26,32,21,116.27374075,0.65625,1,26,32,21,116.27374075,0.65625,1
自然 紅屋,26,51,33,600.508510254902,0.6470588235294118,12,26,51,33,600.508510254902,0.6470588235294118,12
木屋 價格,25,33,26,110.72968306060606,0.7878787878787878,2,25,33,26,110.72968306060606,0.7878787878787878,2
台中 木屋,21,32,24,388.4114694375,0.75,2,21,32,24,388.4114694375,0.75,2
微型 住宅,21,32,29,250.6189619375,0.90625,4,21,32,29,250.6189619375,0.90625,4
移動 木屋,19,26,21,333.78227942307694,0.8076923076923077,5,19,26,21,333.78227942307694,0.8076923076923077,5
行動 木屋,15,16,15,344.0062688125,0.9375,1,15,16,15,344.0062688125,0.9375,1
迷你 屋,13,15,11,138.64957159999997,0.7333333333333333,2,13,15,11,138.64957159999997,0.7333333333333333,2
台灣 木屋,12,15,11,427.04438913333337,0.7333333333333333,3,12,15,11,427.04438913333337,0.7333333333333333,3
共生 社區,11,12,8,99.97139425,0.6666666666666666,0,11,12,8,99.97139425,0.6666666666666666,0
居 林木 構 建築,11,15,10,151.38272373333334,0.6666666666666666,0,11,15,10,151.38272373333334,0.6666666666666666,0
tinyhouse,9,11,8,183.31751909090912,0.7272727272727273,0,9,11,8,183.31751909090912,0.7272727272727273,0
台中 紅屋,9,15,10,179.27343246666666,0.6666666666666666,2,9,15,10,179.27343246666666,0.6666666666666666,2
移動 式 木屋,9,12,8,152.68644458333333,0.6666666666666666,5,9,12,8,152.68644458333333,0.6666666666666666,5
泱 泱 自然,8,13,8,875.9078608461539,0.6153846153846154,0,8,13,8,875.9078608461539,0.6153846153846154,0
移動 式 住宅 價格,8,11,10,158.08877881818182,0.9090909090909091,0,8,11,10,158.08877881818182,0.9090909090909091,0
組合 小 木屋,8,8,7,438.23634475,0.875,0,8,8,7,438.23634475,0.875,0
Tiny house 台灣,7,10,4,39.3330754,0.4,0,7,10,4,39.3330754,0.4,0
微型 屋,7,7,6,132.93395214285712,0.8571428571428571,1,7,7,6,132.93395214285712,0.8571428571428571,1
木屋 公司,6,10,10,343.9993232,1,0,6,10,10,343.9993232,1,0
移動 木屋 價格,6,8,5,75.76862175,0.625,0,6,8,5,75.76862175,0.625,0
日 式 木屋,5,6,6,62.02168783333334,1,0,5,6,6,62.02168783333334,1,0
木造 房屋,5,6,6,169.50622733333333,1,0,5,6,6,169.50622733333333,1,0
模 組 化 房屋,4,5,5,560.804014,1,1,4,5,5,560.804014,1,1
移動 房屋 台灣,4,6,5,589.4521573333333,0.8333333333333334,1,4,6,5,589.4521573333333,0.8333333333333334,1
微型 房屋,3,4,3,125.94178625,0.75,1,3,4,3,125.94178625,0.75,1
木 構造 建築,3,5,3,133.6249828,0.6,0,3,5,3,133.6249828,0.6,0
渡 假 宅,3,3,1,34.61068433333333,0.3333333333333333,1,3,3,1,34.61068433333333,0.3333333333333333,1
高 圻 組合 屋,3,3,3,86.40182166666666,1,0,3,3,3,86.40182166666666,1,0
北都 物產,2,3,3,208.77414199999998,1,0,2,3,3,208.77414199999998,1,0
居林,2,3,3,323.60678533333333,1,0,2,3,3,323.60678533333333,1,0
北都 木屋,1,1,1,88.498503,1,0,1,1,1,88.498503,1,0
微型 屋 價格,1,1,1,39.994246,1,0,1,1,1,39.994246,1,0
德 豐 木 業,1,2,1,14.324131,0.5,0,1,2,1,14.324131,0.5,0
木屋 設計,1,2,2,185.45885,1,0,1,2,2,185.45885,1,0
紅屋 組合 屋,1,1,1,438.854567,1,0,1,1,1,438.854567,1,0
鋼 構 木屋,1,1,0,0,0,0,1,1,0,0,0,0

