分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,成果,成果指標,每次成果成本,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-07-01,2026-08-05,臻富裕_粉專抽獎活動,not_delivering,4181,2083,184,,,830,actions:post_engagement,1.07108434,889,100,每日,648,15.498685,2.007201,2025-09-25,2026-07-17
2026-07-01,2026-08-05,"25-55 / 北部中彰 /百葉簾家具(1208+北部&興趣)",inactive,0,0,,,,,,,0,200,每日,0,0,0,2025-10-20,進行中
2026-07-01,2026-08-05,"25-55 / 大台中 / 美學裝潢",inactive,0,0,,,,,,,0,250,每日,0,0,0,2025-11-11,進行中
2026-07-01,2026-08-05,"25-55 / 中彰沿海 / 家庭房產裝修",inactive,0,0,,,,,,,0,100,每日,0,0,0,2025-11-25,進行中
2026-07-01,2026-08-05,"25-55 / 中彰 / 軟裝整建(018改地點)",inactive,0,0,,,,,,,0,200,每日,0,0,0,2026-01-12,進行中
2026-07-01,2026-08-05,"25-55 / 北部中彰 / 設計建築業",inactive,0,0,,,,,,,0,200,每日,0,0,0,2026-01-14,進行中
2026-07-01,2026-08-05,"25-55 / 中北部 / 軟裝整建",not_delivering,0,0,,,,,,,0,300,每日,0,0,0,2026-01-27,進行中
2026-07-01,2026-08-05,"28-55 / 台中(西屯沙鹿) / 居家裝飾設計(0305改地點)",inactive,0,0,,,,,,,0,150,每日,0,0,0,2026-02-28,進行中
2026-07-01,2026-08-05,"28-55 / 彰化(彰市員林)  / 軟裝採購",inactive,0,0,,,,,,,0,100,每日,0,0,0,2026-03-05,進行中
2026-07-01,2026-08-05,"28-55 / 南投(草屯南市) / 軟裝採購",inactive,0,0,,,,,,,0,100,每日,0,0,0,2026-03-05,進行中
2026-07-01,2026-08-05,"28-55 / 苗栗 / 居家裝飾設計(0325擴大)",inactive,0,0,,,,,,,0,100,每日,0,0,0,2026-03-05,進行中
2026-07-01,2026-08-05,"28-55 / 南投(草屯南市) / 百葉簾家具",inactive,0,0,,,,,,,0,100,每日,0,0,0,2026-03-10,進行中
2026-07-01,2026-08-05,"28-55 /彰化(彰市員林) / 百葉簾家具",inactive,0,0,,,,,,,0,100,每日,0,0,0,2026-03-10,進行中
2026-07-01,2026-08-05,"28-55 / 台中(北屯豐原) / 家具零售",inactive,0,0,,,,,,,0,250,每日,0,0,0,2026-03-18,進行中
2026-07-01,2026-08-05,"28-55 / 彰化(北彰化) / 家具零售",inactive,0,0,,,,,,,0,100,每日,0,0,0,2026-03-25,進行中
2026-07-01,2026-08-05,"28-55 / 苗栗 / 室設/裝潢/自營商",inactive,0,0,,,,,,,0,150,每日,0,0,0,2026-04-14,進行中
2026-07-01,2026-08-05,"28-55 / 彰化(伸港鹿港彰市) / IKEA/量販店/居家裝潢",inactive,0,0,,,,,,,0,100,每日,0,0,0,2026-04-14,進行中
2026-07-01,2026-08-05,"28-55 / 台中(海線+屯區) / IKEA/量販店/居家裝潢",inactive,0,0,,,,,,,0,250,每日,0,0,0,2026-04-21,進行中
2026-07-01,2026-08-05,"28-55 / 台中(海線+屯區) / 裝潢B2B/室內家具",inactive,0,0,,,,,,,0,200,每日,0,0,0,2026-05-27,進行中
2026-07-01,2026-08-05,"28-55 / 彰化(伸港和美鹿港) /百葉簾家具",archived,0,0,,,,,,,0,200,每日,0,0,0,2026-05-27,進行中
2026-07-01,2026-08-05,"28-55 / 彰化(伸港和美鹿港) /百葉簾家具",inactive,0,0,,,,,,,0,250,每日,0,0,0,2026-05-28,進行中
2026-07-01,2026-08-05,28-55/大甲沙鹿+10K/搬家/居家整裝,inactive,52893,25914,2,25,,25,actions:onsite_conversion.messaging_conversation_started_7d,309.24,7731,250,每日,1015,1.918968,2.041097,2026-06-30,進行中
2026-07-01,2026-08-05,"28-55/彰化(伸港和美鹿港)/ 家庭主婦/居家",inactive,11943,6300,1,5,,5,actions:onsite_conversion.messaging_conversation_started_7d,372.6,1863,250,每日,188,1.574144,1.895714,2026-06-30,進行中
2026-07-01,2026-08-05,28-55/台中市區+豐原后里/搬家/家具零售,active,39223,21545,2,44,1,44,actions:onsite_conversion.messaging_conversation_started_7d,141.34090909,6219,250,每日,876,2.233383,1.820515,2026-07-08,進行中
2026-07-01,2026-08-05,28-55/大甲沙鹿+10K/整修/買房,active,868,643,,2,,2,actions:onsite_conversion.messaging_conversation_started_7d,163.5,327,250,每日,27,3.110599,1.349922,2026-08-04,進行中
2026-07-01,2026-08-05,"28-60 / 台1 台灣大道 / 質感興趣",inactive,0,0,,,,,,,0,300,每日,0,0,0,2025-07-28,進行中
2026-07-01,2026-08-05,"26-60 / 大台中 / 軟裝興趣",inactive,0,0,,,,,,,0,300,每日,0,0,0,2025-08-06,進行中
2026-07-01,2026-08-05,"26-60 / 中彰苗 / 木作美學",inactive,0,0,,,,,,,0,100,每日,0,0,0,2025-08-15,進行中
2026-07-01,2026-08-05,"ALL_26-55 / 北部中部 / 百葉簾",inactive,0,0,,,,,,,0,100,每日,0,0,0,2025-08-20,進行中
2026-07-01,2026-08-05,"LINE_25-45 / 北部中部 / 年輕興趣",inactive,0,0,,,,,,,0,100,每日,0,0,0,2025-09-08,進行中
2026-07-01,2026-08-05,"影音_25-55 / 北部中部 / 室設裝潢",inactive,0,0,,,,,,,0,100,每日,0,0,0,2025-09-17,進行中
2026-07-01,2026-08-05,"25-55 / 北部中彰 / 軟裝整建",not_delivering,0,0,,,,,,,0,300,每日,0,0,0,2026-01-19,進行中
2026-07-01,2026-08-05,"25-55 / 大台中 / 美學裝潢",not_delivering,0,0,,,,,,,0,300,每日,0,0,0,2026-01-19,進行中
2026-07-01,2026-08-05,"25-55 / 中部屏東 / 美學裝潢",not_delivering,0,0,,,,,,,0,300,每日,0,0,0,2026-01-27,進行中
