搜尋關鍵字報表
2026年7月1日 - 2026年8月5日
關鍵字狀態,關鍵字,比對類型,廣告活動,廣告群組,狀態,狀態原因,貨幣代碼,最高單次點擊出價,最終到達網址,曝光,點擊,點閱率,費用,平均單次點擊出價,曝光 (頂端) 百分比,曝光 (絕對頂端) 百分比,轉換率,轉換,單次轉換費用
已暫停,"""布窗簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,已暫停,已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""隔熱窗簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,331,24,7.25%,357.93,14.91,71.77%,25.85%,0.00%,0.00,0.00
已啟用,"""手動天窗""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,1,0,0.00%,0.00,0,0.00%,0.00%,0.00%,0.00,0.00
已啟用,"""調光簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,876,45,5.14%,665.73,14.79,60.57%,20.87%,0.00%,0.00,0.00
已暫停,"""窗簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,已暫停,已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""客製窗簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""調光捲簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,251,18,7.17%,275.54,15.31,54.85%,22.33%,0.00%,0.00,0.00
已啟用,"""風琴簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,725,35,4.83%,534.48,15.27,50.56%,18.60%,0.00%,0.00,0.00
已啟用,"""電動窗簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,660,50,7.58%,809.94,16.20,65.94%,17.37%,0.00%,0.00,0.00
已啟用,"""防水窗簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,118,7,5.93%,108.11,15.44,64.95%,25.77%,0.00%,0.00,0.00
已啟用,"""窗簾價格""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,"1,009",66,6.54%,1063.76,16.12,62.57%,21.24%,0.00%,0.00,0.00
已啟用,"""窗簾訂製""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,130,6,4.62%,91.54,15.26,47.15%,11.38%,0.00%,0.00,0.00
已啟用,"""窗簾推薦""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,"2,115",145,6.86%,2267.16,15.64,57.38%,19.64%,0.00%,0.00,0.00
已啟用,"""自動天窗""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已暫停,"""平價窗簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,已暫停,已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""蜂巢簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,"1,374",101,7.35%,1569.18,15.54,65.08%,22.81%,0.00%,0.00,0.00
已啟用,"""手捲簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,5,0,0.00%,0.00,0,75.00%,0.00%,0.00%,0.00,0.00
已啟用,"""窗簾設計""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,338,21,6.21%,308.65,14.70,59.66%,21.38%,0.00%,0.00,0.00
已啟用,"""遮光窗簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,978,56,5.73%,840.88,15.02,56.06%,17.73%,0.00%,0.00,0.00
已啟用,[E-shutter],完全比對,202512 臻富裕 GKW(其他/競品字),競品字,受限,品質偏低,TWD, --,,1,0,0.00%,0.00,0,0.00%,0.00%,0.00%,0.00,0.00
已啟用,[Norman百葉窗],完全比對,202512 臻富裕 GKW(其他/競品字),競品字,符合資格,,TWD, --,,10,0,0.00%,0.00,0,50.00%,0.00%,0.00%,0.00,0.00
已啟用,"""ALTALIPA""",詞組比對,202512 臻富裕 GKW(其他/競品字),品牌字,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""朗絲""",詞組比對,202512 臻富裕 GKW(其他/競品字),品牌字,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""防水木百葉""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""塑鋁百葉窗""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""電動百葉""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""皮百葉""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""實木百葉窗""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""布百葉""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""實木百葉""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""百葉窗簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""木百葉""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""美式百葉窗""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""實木透氣窗""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停; 極少顯示,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""英國朗絲絲柔百葉""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停; 極少顯示,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""電動百葉""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,319,30,9.40%,811.97,27.07,77.04%,26.46%,0.00%,0.00,0.00
已啟用,"""實木透氣窗""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,不符合資格,極少顯示,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""木 百葉窗""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,169,11,6.51%,311.82,28.35,69.85%,16.18%,0.00%,0.00,0.00
已啟用,"""塑鋁百葉窗""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,97,2,2.06%,49.23,24.62,77.11%,27.71%,0.00%,0.00,0.00
已啟用,"""布百葉""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,20,1,5.00%,33.33,33.33,37.50%,12.50%,0.00%,0.00,0.00
已啟用,"""百葉窗 安裝""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,80,3,3.75%,81.11,27.04,52.94%,20.59%,0.00%,0.00,0.00
已啟用,"""木百葉""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,"1,006",58,5.77%,1517.69,26.17,66.87%,21.57%,0.00%,0.00,0.00
已啟用,"""英國朗絲絲柔百葉""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,不符合資格,極少顯示,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""實木百葉窗""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,101,3,2.97%,95.68,31.89,70.89%,16.46%,0.00%,0.00,0.00
