搜尋關鍵字報表
2026年8月1日 - 2026年8月31日
關鍵字狀態,關鍵字,比對類型,廣告活動,廣告群組,狀態,狀態原因,貨幣代碼,最高單次點擊出價,最終到達網址,曝光,點擊,點閱率,費用,平均單次點擊出價,曝光 (頂端) 百分比,曝光 (絕對頂端) 百分比,轉換率,轉換,單次轉換費用
已啟用,"""手動天窗""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,1,0,0.00%,0.00,0,100.00%,0.00%,0.00%,0.00,0.00
已啟用,"""調光簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,791,37,4.68%,557.83,15.08,56.97%,18.48%,0.00%,0.00,0.00
已啟用,"""窗簾設計""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,264,18,6.82%,273.65,15.20,55.65%,17.83%,0.00%,0.00,0.00
已啟用,"""蜂巢簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,"1,296",124,9.57%,1839.69,14.84,72.13%,20.72%,0.00%,0.00,0.00
已暫停,"""平價窗簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,已暫停,已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已暫停,"""窗簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,已暫停,已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""遮光窗簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,729,37,5.08%,554.83,15.00,58.28%,17.19%,0.00%,0.00,0.00
已啟用,"""調光捲簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,202,15,7.43%,217.24,14.48,63.79%,20.11%,0.00%,0.00,0.00
已啟用,"""窗簾推薦""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,"1,703",127,7.46%,1934.41,15.23,62.83%,18.76%,0.00%,0.00,0.00
已啟用,"""自動天窗""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""風琴簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,632,30,4.75%,442.84,14.76,64.46%,18.90%,0.00%,0.00,0.00
已啟用,"""手捲簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,8,0,0.00%,0.00,0,83.33%,33.33%,0.00%,0.00,0.00
已啟用,"""窗簾訂製""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,79,4,5.06%,58.40,14.60,53.42%,13.70%,0.00%,0.00,0.00
已啟用,"""窗簾價格""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,687,42,6.11%,648.45,15.44,64.30%,15.37%,0.00%,0.00,0.00
已暫停,"""布窗簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,已暫停,已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""防水窗簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,97,10,10.31%,158.59,15.86,67.50%,22.50%,0.00%,0.00,0.00
已啟用,"""客製窗簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,10,0,0.00%,0.00,0,40.00%,0.00%,0.00%,0.00,0.00
已啟用,"""隔熱窗簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,126,6,4.76%,94.81,15.80,71.56%,18.35%,0.00%,0.00,0.00
已啟用,"""電動窗簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),其他,符合資格,,TWD, --,,531,46,8.66%,687.58,14.95,70.37%,15.69%,0.00%,0.00,0.00
已啟用,"""朗絲""",詞組比對,202512 臻富裕 GKW(其他/競品字),品牌字,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,[ALTALIPA],完全比對,202512 臻富裕 GKW(其他/競品字),品牌字,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,[Norman百葉窗],完全比對,202512 臻富裕 GKW(其他/競品字),競品字,符合資格,,TWD, --,,5,0,0.00%,0.00,0,40.00%,20.00%,0.00%,0.00,0.00
已啟用,[E-shutter],完全比對,202512 臻富裕 GKW(其他/競品字),競品字,受限,品質偏低,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""布百葉""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""實木百葉""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""實木百葉窗""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""英國朗絲絲柔百葉""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""塑鋁百葉窗""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""美式百葉窗""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""百葉窗簾""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""實木透氣窗""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停; 極少顯示,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""木百葉""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""電動百葉""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""皮百葉""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""防水木百葉""",詞組比對,202512 臻富裕 GKW(其他/競品字),百葉窗,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,[ALTALIPA],完全比對,202507 臻富裕 GKW(百葉窗/品牌字),品牌字,符合資格,,TWD, --,,2,0,0.00%,0.00,0,50.00%,50.00%,0.00%,0.00,0.00
已啟用,"""朗絲""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),品牌字,符合資格,,TWD, --,,1,0,0.00%,0.00,0,0.00%,0.00%,0.00%,0.00,0.00
已啟用,"""Norman百葉窗""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),競品字,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,[E-shutter],完全比對,202507 臻富裕 GKW(百葉窗/品牌字),競品字,不符合資格,廣告群組已暫停; 品質偏低,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,電動 木 百葉,廣泛比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,21,0,0.00%,0.00,0,75.00%,6.25%,0.00%,0.00,0.00
已啟用,"""布百葉""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,27,3,11.11%,70.93,23.64,47.62%,23.81%,0.00%,0.00,0.00
已啟用,"""木百葉""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,866,59,6.81%,1685.12,28.56,76.14%,28.43%,0.00%,0.00,0.00
已啟用,"""木 百葉窗""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,181,14,7.73%,379.01,27.07,84.78%,21.01%,0.00%,0.00,0.00
已啟用,"""皮百葉""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,29,7,24.14%,185.69,26.53,88.46%,23.08%,0.00%,0.00,0.00
已啟用,"""電動百葉""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,215,27,12.56%,751.82,27.85,84.15%,28.05%,0.00%,0.00,0.00
已啟用,"""美式百葉窗""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,54,4,7.41%,110.93,27.73,87.50%,17.50%,0.00%,0.00,0.00
已啟用,"""實木百葉窗""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,92,3,3.26%,70.74,23.58,81.16%,21.74%,0.00%,0.00,0.00
已啟用,"""實木透氣窗""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,不符合資格,極少顯示,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,木 百葉 窗簾,廣泛比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,553,22,3.98%,423.74,19.26,55.34%,16.34%,0.00%,0.00,0.00
已啟用,"""百葉窗簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,"1,998",84,4.20%,2318.65,27.60,75.65%,27.86%,0.00%,0.00,0.00
已啟用,"""英國朗絲絲柔百葉""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,不符合資格,極少顯示,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,電動 百葉窗,廣泛比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,405,11,2.72%,198.65,18.06,56.67%,14.17%,0.00%,0.00,0.00
已啟用,木 百葉 簾,廣泛比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,358,15,4.19%,355.06,23.67,59.14%,15.61%,0.00%,0.00,0.00
已啟用,"""防水木百葉""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,12,2,16.67%,50.06,25.03,77.78%,55.56%,0.00%,0.00,0.00
已啟用,"""塑鋁百葉窗""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,88,10,11.36%,271.64,27.16,78.75%,27.50%,0.00%,0.00,0.00
已啟用,"""實木百葉""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,167,11,6.59%,275.56,25.05,83.09%,19.12%,0.00%,0.00,0.00
已啟用,"""百葉窗 安裝""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,81,4,4.94%,123.91,30.98,66.67%,10.61%,0.00%,0.00,0.00
已啟用,"""布窗簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
