素材資源關聯報表
2026年8月1日 - 2026年8月31日
素材資源狀態,素材資源,素材資源類型,廣告活動,廣告群組,等級,狀態,狀態理由,新增者：,上次更新時間,曝光,互動,互動率,貨幣代碼,平均費用,費用,點擊
已啟用,質感入手CP值高進口窗飾,摘要,202507 臻富裕 GKW(百葉窗/品牌字), --,廣告活動,符合資格,,廣告主,2025年7月28日 下午6:23,656,10,1.52%,TWD,25.31,253.11,10
已啟用,全客製化，免費線上諮詢,摘要,202507 臻富裕 GKW(百葉窗/品牌字), --,廣告活動,符合資格,,廣告主,2025年7月28日 下午6:23,220,4,1.82%,TWD,30.37,121.46,4
已啟用,服務時間含週末及國定假日,摘要,202309 群尚驗屋 GKW, --,廣告活動,符合資格,,廣告主,2023年9月18日 下午3:22,0,0, --,TWD,0,0.00,0
已啟用,質感入手CP值高進口窗飾,摘要,202512 臻富裕 GKW(其他/競品字), --,廣告活動,符合資格,,廣告主,2025年12月8日 下午2:40,"2,497",85,3.40%,TWD,15.28,1298.72,85
已啟用,全客製化，免費線上諮詢,摘要,202512 臻富裕 GKW(其他/競品字), --,廣告活動,符合資格,,廣告主,2025年12月8日 下午2:40,609,21,3.45%,TWD,14.48,304.07,21
已啟用,實體門市歡迎親臨選購,摘要,202507 臻富裕 GKW(百葉窗/品牌字), --,廣告活動,符合資格,,廣告主,2025年7月28日 下午6:23,984,18,1.83%,TWD,24.78,445.96,18
已啟用,餐酒館實績-遮陽窗簾,摘要,202507 臻富裕 GKW(百葉窗/品牌字), --,廣告活動,符合資格,,廣告主,2025年7月28日 下午6:23,383,1,0.26%,TWD,20.66,20.66,1
已啟用,高效率驗屋服務,摘要,202309 群尚驗屋 GKW, --,廣告活動,符合資格,,廣告主,2023年9月18日 下午3:22,0,0, --,TWD,0,0.00,0
已啟用,為新成屋把關您的起家厝,摘要,202309 群尚驗屋 GKW, --,廣告活動,符合資格,,廣告主,2023年9月18日 下午3:22,0,0, --,TWD,0,0.00,0
已啟用,餐酒館實績-遮陽窗簾,摘要,202512 臻富裕 GKW(其他/競品字), --,廣告活動,符合資格,,廣告主,2025年12月8日 下午2:40,"1,442",35,2.43%,TWD,15.15,530.12,35
已啟用,實體門市歡迎親臨選購,摘要,202512 臻富裕 GKW(其他/競品字), --,廣告活動,符合資格,,廣告主,2025年12月8日 下午2:40,"2,835",127,4.48%,TWD,14.73,1870.89,127
已啟用,大墩國中小，9年明星學區,摘要,佳泰大方-關鍵字, --,廣告活動,符合資格,,廣告主, --,0,0, --,TWD,0,0.00,0
已啟用,擁全能採購家樂福、迪卡農,摘要,佳泰大方-關鍵字, --,廣告活動,符合資格,,廣告主, --,0,0, --,TWD,0,0.00,0
已啟用,文心森林公園、豐樂公園,摘要,佳泰大方-關鍵字, --,廣告活動,符合資格,,廣告主, --,0,0, --,TWD,0,0.00,0
已啟用,飯店業實績-電動天窗,摘要,202507 臻富裕 GKW(百葉窗/品牌字), --,廣告活動,符合資格,,廣告主,2025年7月28日 下午6:23,503,11,2.19%,TWD,28.17,309.86,11
已啟用,歐風高奢精品窗飾,摘要,202507 臻富裕 GKW(百葉窗/品牌字), --,廣告活動,符合資格,,廣告主,2025年7月28日 下午6:23,584,11,1.88%,TWD,24.90,273.94,11
已啟用,美術館實績-布百葉透氣窗,摘要,202507 臻富裕 GKW(百葉窗/品牌字), --,廣告活動,符合資格,,廣告主,2025年7月28日 下午6:23,900,13,1.44%,TWD,26.85,348.99,13
已啟用,服務遍及雙北、桃竹、基隆,摘要,202309 群尚驗屋 GKW, --,廣告活動,符合資格,,廣告主,2023年9月18日 下午3:22,0,0, --,TWD,0,0.00,0
已啟用,北部推薦驗屋品牌,摘要,202309 群尚驗屋 GKW, --,廣告活動,符合資格,,廣告主,2023年9月18日 下午3:22,0,0, --,TWD,0,0.00,0
已啟用,美術館實績-布百葉透氣窗,摘要,202512 臻富裕 GKW(其他/競品字), --,廣告活動,符合資格,,廣告主,2025年12月8日 下午2:40,"2,892",106,3.67%,TWD,15.12,1602.31,106
已啟用,歐風高奢精品窗飾,摘要,202512 臻富裕 GKW(其他/競品字), --,廣告活動,符合資格,,廣告主,2025年12月8日 下午2:40,"1,802",61,3.39%,TWD,14.69,896.17,61
已啟用,飯店業實績-電動天窗,摘要,202512 臻富裕 GKW(其他/競品字), --,廣告活動,符合資格,,廣告主,2025年12月8日 下午2:40,"1,616",67,4.15%,TWD,14.72,986.41,67
已啟用,訂製窗飾首選品牌,摘要,202507 臻富裕 GKW(百葉窗/品牌字), --,廣告活動,符合資格,,廣告主,2025年7月28日 下午6:23,167,4,2.40%,TWD,26.22,104.89,4
已啟用,專業檢測值得信賴,摘要,202309 群尚驗屋 GKW, --,廣告活動,符合資格,,廣告主,2023年9月18日 下午3:22,0,0, --,TWD,0,0.00,0
已啟用,訂製窗飾首選品牌,摘要,202512 臻富裕 GKW(其他/競品字), --,廣告活動,符合資格,,廣告主,2025年12月8日 下午2:40,"1,027",41,3.99%,TWD,15.17,622.00,41
已啟用,捷運南屯站，環市心快捷,摘要,佳泰大方-關鍵字, --,廣告活動,符合資格,,廣告主, --,0,0, --,TWD,0,0.00,0
