素材資源關聯報表
2026年8月1日 - 2026年8月31日
素材資源狀態,素材資源,素材資源類型,廣告活動,廣告群組,等級,狀態,狀態理由,新增者：,上次更新時間,曝光,互動,互動率,貨幣代碼,平均費用,費用,點擊
已移除,"方案介紹
https://chyunshang.com.tw/service.php",網站連結,202309 群尚驗屋 GKW, --,廣告活動,已移除,,廣告主,2024年5月7日 下午5:03,0,0, --,TWD,0,0.00,0
已啟用,"方案介紹
https://chyunshang.com.tw/service.php",網站連結, --, --,帳戶,符合資格,,廣告主,2024年4月24日 上午11:16,0,0, --,TWD,0,0.00,0
已啟用,"案例實績 · 線上了解
飯店、餐酒館、美術館業主一致好評！
業主一致好評！
https://www.altalipa.com/album.php",網站連結,202512 臻富裕 GKW(其他/競品字), --,廣告活動,符合資格,,廣告主,2025年12月8日 下午2:40,"3,226",218,6.76%,TWD,15.19,3310.82,218
已啟用,"案例實績 · 線上了解
飯店、餐酒館、美術館業主一致好評！
業主一致好評！
https://www.altalipa.com/album.php",網站連結,202507 臻富裕 GKW(百葉窗/品牌字), --,廣告活動,符合資格,,廣告主,2025年7月28日 下午6:23,"2,211",138,6.24%,TWD,26.70,3683.99,138
已啟用,"臉書最新消息
https://reurl.cc/Vz8ngn",網站連結,202309 群尚驗屋 GKW, --,廣告活動,不符合資格,已拒登,廣告主,2024年5月7日 下午5:03,0,0, --,TWD,0,0.00,0
已啟用,"加入LINE@諮詢
https://line.me/R/ti/p/@688pakqf",網站連結,202309 群尚驗屋 GKW, --,廣告活動,不符合資格,已拒登,廣告主,2024年5月7日 下午5:03,0,0, --,TWD,0,0.00,0
已啟用,"驗屋費用
https://chyunshang.com.tw/service.php",網站連結,202309 群尚驗屋 GKW, --,廣告活動,符合資格,,廣告主,2024年5月7日 下午5:03,0,0, --,TWD,0,0.00,0
已啟用,"疑問Q&A
https://chyunshang.com.tw/qa.php",網站連結,202309 群尚驗屋 GKW, --,廣告活動,符合資格,,廣告主,2024年5月7日 下午5:03,0,0, --,TWD,0,0.00,0
已啟用,"驗屋費用
https://chyunshang.com.tw/service.php",網站連結, --, --,帳戶,符合資格,,廣告主,2024年4月24日 上午11:16,0,0, --,TWD,0,0.00,0
已移除,"驗屋費用
https://chyunshang.com.tw/service.php",網站連結,202309 群尚驗屋 GKW, --,廣告活動,已移除,,廣告主,2024年5月7日 下午5:03,0,0, --,TWD,0,0.00,0
已啟用,"體驗門市 · 實品直接看
台中清水總部
歡迎親臨門市鑑賞！
https://www.altalipa.com/contact.php",網站連結,202512 臻富裕 GKW(其他/競品字), --,廣告活動,符合資格,,廣告主,2025年12月8日 下午2:40,"3,750",293,7.81%,TWD,15.25,4467.49,293
已啟用,"歐風時尚 · 平價首選
ALTALIPA 各式窗簾/
進口百葉窗
https://www.altalipa.com/product.php#product",網站連結,202512 臻富裕 GKW(其他/競品字), --,廣告活動,符合資格,,廣告主,2025年12月8日 下午2:40,"3,916",317,8.09%,TWD,15.25,4833.12,317
已啟用,"高奢英倫 · 百年工藝
英國朗絲〡高質感窗簾
絲柔百葉窗簾
https://www.altalipa.com/product.php?type=189#product",網站連結,202512 臻富裕 GKW(其他/競品字), --,廣告活動,符合資格,,廣告主,2025年12月8日 下午2:40,"2,853",111,3.89%,TWD,14.93,1656.90,111
已啟用,"歡迎聯絡
https://chyunshang.com.tw/contact.php",網站連結,202309 群尚驗屋 GKW, --,廣告活動,符合資格,,廣告主,2024年5月7日 下午5:03,0,0, --,TWD,0,0.00,0
已啟用,"體驗門市 · 實品直接看
台中清水總部
歡迎親臨門市鑑賞！
https://www.altalipa.com/contact.php",網站連結,202507 臻富裕 GKW(百葉窗/品牌字), --,廣告活動,符合資格,,廣告主,2025年7月28日 下午6:23,"2,391",148,6.19%,TWD,26.93,3985.69,148
已啟用,"歐風時尚 · 平價首選
ALTALIPA 各式窗簾/
進口百葉窗
https://www.altalipa.com/product.php#product",網站連結,202507 臻富裕 GKW(百葉窗/品牌字), --,廣告活動,符合資格,,廣告主,2025年7月28日 下午6:23,"2,476",161,6.50%,TWD,26.84,4320.57,161
已啟用,"高奢英倫 · 百年工藝
英國朗絲〡高質感窗簾
絲柔百葉窗簾
https://www.altalipa.com/product.php?type=189#product",網站連結,202507 臻富裕 GKW(百葉窗/品牌字), --,廣告活動,符合資格,,廣告主,2025年7月28日 下午6:23,"1,803",84,4.66%,TWD,26.67,2240.41,84
