分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,成果,成果指標,每次成果成本,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-08-01,2026-08-31,0925_抽獎活動,inactive,0,0,,,,,,,0,100,每日,0,0,0,2025-09-25,2026-07-17
2026-08-01,2026-08-31,20260603_全客製化窗飾下集(影片),not_delivering,67,65,,,,,,,23,250,每日,1,1.492537,1.030769,2026-06-30,進行中
2026-08-01,2026-08-31,0903_靜音緩衝(影音),inactive,0,0,,,,,,,0,250,每日,0,0,0,2026-06-30,進行中
2026-08-01,2026-08-31,1222_天棚簾(影片),inactive,4221,3101,,1,,1,actions:onsite_conversion.messaging_conversation_started_7d,824,824,250,每日,69,1.634684,1.361174,2026-06-30,進行中
2026-08-01,2026-08-31,1222_天棚簾(影片),inactive,0,0,,,,,,,0,250,每日,0,0,0,2026-06-30,進行中
2026-08-01,2026-08-31,20260603_全客製化窗飾下集(影片),not_delivering,0,0,,,,,,,0,250,每日,0,0,0,2026-06-30,進行中
2026-08-01,2026-08-31,0908_天窗案例(影音),not_delivering,0,0,,,,,,,0,250,每日,0,0,0,2026-06-30,進行中
2026-08-01,2026-08-31,0903_靜音緩衝(影音),inactive,0,0,,,,,,,0,200,每日,0,0,0,2026-07-08,進行中
2026-08-01,2026-08-31,1222_天棚簾(影片),active,22368,13406,2,25,1,25,actions:onsite_conversion.messaging_conversation_started_7d,180.88,4522,200,每日,437,1.953684,1.668507,2026-07-08,進行中
2026-08-01,2026-08-31,20260603_全客製化窗飾下集(影片),inactive,0,0,,,,,,,0,200,每日,0,0,0,2026-07-08,進行中
2026-08-01,2026-08-31,20260710_全遮陽窗飾(影片),not_delivering,22,19,,,,,,,5,250,每日,1,4.545455,1.157895,2026-06-30,進行中
2026-08-01,2026-08-31,20260710_全遮陽窗飾(影片),inactive,168,153,,,,,,,68,200,每日,7,4.166667,1.098039,2026-07-08,進行中
2026-08-01,2026-08-31,0710_抽獎活動,not_delivering,0,0,,,,,,,0,100,每日,0,0,0,2025-09-25,2026-07-17
2026-08-01,2026-08-31,0903_靜音緩衝(影音),inactive,4136,2790,,4,,4,actions:onsite_conversion.messaging_conversation_started_7d,348.75,1395,250,每日,108,2.611219,1.482437,2026-08-04,進行中
2026-08-01,2026-08-31,20260710_全遮陽窗飾(影片),not_delivering,720,530,,,,,,,260,250,每日,6,0.833333,1.358491,2026-08-04,進行中
2026-08-01,2026-08-31,1222_天棚簾(影片),not_delivering,11911,7794,1,8,1,8,actions:onsite_conversion.messaging_conversation_started_7d,231,1848,250,每日,188,1.578373,1.528227,2026-08-04,進行中
2026-08-01,2026-08-31,1222_天棚簾(影片),inactive,0,0,,,,,,,0,250,每日,0,0,0,2026-08-18,進行中
2026-08-01,2026-08-31,0903_靜音緩衝(影音),inactive,0,0,,,,,,,0,250,每日,0,0,0,2026-08-18,進行中
2026-08-01,2026-08-31,0908_天窗案例(影音),active,476,253,,1,1,1,actions:onsite_conversion.messaging_conversation_started_7d,129,129,250,每日,17,3.571429,1.881423,2026-08-18,進行中
2026-08-01,2026-08-31,20260818_秋竹簾(影片),active,15446,7949,,26,,26,actions:onsite_conversion.messaging_conversation_started_7d,112.19230769,2917,250,每日,373,2.414865,1.943138,2026-08-18,進行中
2026-08-01,2026-08-31,20260818_秋竹簾(影片),active,13486,7255,,30,1,30,actions:onsite_conversion.messaging_conversation_started_7d,92.36666667,2771,200,每日,413,3.062435,1.858856,2026-07-08,進行中
