# ----------------------------------------
# 臻富裕ALTALIPA
# 臻富裕-G來源關鍵字
# 20260801-20260831
# ----------------------------------------

區隔,所有使用者,所有使用者,所有使用者,所有使用者,所有使用者,所有使用者,總計,總計,總計,總計,總計,總計
最初招攬到使用者的 Google Ads 關鍵字文字,總人數,工作階段,互動工作階段,平均工作階段持續時間,參與度,重要活動,總人數,工作階段,互動工作階段,平均工作階段持續時間,參與度,重要活動
,624,684,457,147.80148316374274,0.6681286549707602,2,624,684,457,147.80148316374274,0.6681286549707602,2,總計
蜂巢簾,104,115,76,70.40234673043479,0.6608695652173913,0,104,115,76,70.40234673043479,0.6608695652173913,0
窗簾推薦,98,103,80,107.41537206796116,0.7766990291262136,1,98,103,80,107.41537206796116,0.7766990291262136,1
百葉窗簾,64,71,47,96.62643385915493,0.6619718309859155,1,64,71,47,96.62643385915493,0.6619718309859155,1
木百葉,48,53,32,155.67544988679248,0.6037735849056604,0,48,53,32,155.67544988679248,0.6037735849056604,0
電動窗簾,40,42,32,231.973153,0.7619047619047619,0,40,42,32,231.973153,0.7619047619047619,0
調光簾,34,37,23,115.75880886486487,0.6216216216216216,0,34,37,23,115.75880886486487,0.6216216216216216,0
窗簾價格,33,34,21,147.9867179117647,0.6176470588235294,0,33,34,21,147.9867179117647,0.6176470588235294,0
遮光窗簾,28,29,19,64.4069367586207,0.6551724137931034,0,28,29,19,64.4069367586207,0.6551724137931034,0
電動百葉,24,25,19,191.12757492,0.76,0,24,25,19,191.12757492,0.76,0
風琴簾,23,23,20,264.9111676086957,0.8695652173913043,0,23,23,20,264.9111676086957,0.8695652173913043,0
調光捲簾,13,19,12,186.99299342105263,0.631578947368421,0,13,19,12,186.99299342105263,0.631578947368421,0
木 百葉 簾,12,15,9,1179.5192871333334,0.6,0,12,15,9,1179.5192871333334,0.6,0
窗簾設計,12,12,8,59.796456000000006,0.6666666666666666,0,12,12,8,59.796456000000006,0.6666666666666666,0
木 百葉 窗簾,11,12,6,33.74127608333333,0.5,0,11,12,6,33.74127608333333,0.5,0
木 百葉窗,10,13,8,51.65302246153846,0.6153846153846154,0,10,13,8,51.65302246153846,0.6153846153846154,0
電動 百葉窗,10,10,4,109.34000600000002,0.4,0,10,10,4,109.34000600000002,0.4,0
塑鋁百葉窗,9,10,6,148.1399367,0.6,0,9,10,6,148.1399367,0.6,0
防水窗簾,9,9,6,278.52836888888885,0.6666666666666666,0,9,9,6,278.52836888888885,0.6666666666666666,0
實木百葉,7,10,7,55.2888326,0.7,0,7,10,7,55.2888326,0.7,0
隔熱窗簾,6,6,2,46.14800683333333,0.3333333333333333,0,6,6,2,46.14800683333333,0.3333333333333333,0
(not set),5,5,0,1.011021,0,0,5,5,0,1.011021,0,0
窗簾訂製,4,4,2,52.55278675,0.5,0,4,4,2,52.55278675,0.5,0
美式百葉窗,4,6,2,24.33850083333333,0.3333333333333333,0,4,6,2,24.33850083333333,0.3333333333333333,0
ALTALIPA,3,4,3,577.95482925,0.75,0,3,4,3,577.95482925,0.75,0
實木百葉窗,3,4,3,32.1000725,0.75,0,3,4,3,32.1000725,0.75,0
布百葉,3,3,2,628.4341633333333,0.6666666666666666,0,3,3,2,628.4341633333333,0.6666666666666666,0
皮百葉,3,4,3,230.74376575,0.75,0,3,4,3,230.74376575,0.75,0
百葉窗 安裝,2,3,2,25.414321333333334,0.6666666666666666,0,2,3,2,25.414321333333334,0.6666666666666666,0
防水木百葉,2,2,2,195.737364,1,0,2,2,2,195.737364,1,0

