搜尋關鍵字報表
2026年7月1日 - 2026年8月5日
關鍵字狀態	關鍵字	比對類型	廣告活動	廣告群組	狀態	狀態原因	貨幣代碼	最高單次點擊出價	最終到達網址	曝光	點擊	點閱率	費用	平均單次點擊出價	曝光 (頂端) 百分比	曝光 (絕對頂端) 百分比	轉換率	轉換	單次轉換費用
已啟用	[E-shutter]	完全比對	202512 臻富裕 GKW(其他/競品字)	競品字	受限	品質偏低	TWD	 --		1	0	0.00%	0.00	0	0.00%	0.00%	0.00%	0.00	0.00
已啟用	[Norman百葉窗]	完全比對	202512 臻富裕 GKW(其他/競品字)	競品字	符合資格		TWD	 --		9	0	0.00%	0.00	0	55.56%	0.00%	0.00%	0.00	0.00
已啟用	"""調光捲簾"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	其他	符合資格		TWD	 --		249	16	6.43%	243.18	15.20	54.90%	22.06%	0.00%	0.00	0.00
已啟用	"""調光簾"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	其他	符合資格		TWD	 --		871	45	5.17%	665.73	14.79	60.91%	20.99%	0.00%	0.00	0.00
已啟用	"""手動天窗"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	其他	符合資格		TWD	 --		1	0	0.00%	0.00	0	0.00%	0.00%	0.00%	0.00	0.00
已啟用	"""風琴簾"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	其他	符合資格		TWD	 --		720	35	4.86%	534.48	15.27	50.80%	18.75%	0.00%	0.00	0.00
已啟用	"""電動窗簾"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	其他	符合資格		TWD	 --		657	49	7.46%	793.62	16.20	65.99%	17.26%	0.00%	0.00	0.00
已啟用	"""遮光窗簾"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	其他	符合資格		TWD	 --		966	55	5.69%	829.70	15.09	56.08%	17.38%	0.00%	0.00	0.00
已啟用	"""客製窗簾"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	其他	符合資格		TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已暫停	"""窗簾"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	其他	已暫停	已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
